manzent,predios_estrategicos,num_predios_estrategicos,tipo_control,num_combis_consideradas,num_combis_disponibles,num_predios_considerados,num_predios_disponibles
13101201001006,,0,sin_control,0,0,0,0
13101201001007,,0,sin_control,0,0,0,0
13101201001008,,0,sin_control,0,0,0,0
13101201001010,,0,sin_control,0,0,0,0
13101201001011,,0,sin_control,0,0,0,0
13101201001012,,0,sin_control,0,0,0,0
13101201001013,,0,sin_control,0,0,0,0
13101201001014,,0,sin_control,0,0,0,0
13101201001015,,0,sin_control,0,0,0,0
13101201001016,,0,sin_control,0,0,0,0
13101201001017,,0,sin_control,0,0,0,0
13101201001018,,0,sin_control,0,0,0,0
13101201001019,,0,sin_control,0,0,0,0
13101201001020,,0,sin_control,0,0,0,0
13101201001022,,0,sin_control,0,0,0,0
13101201001023,,0,sin_control,0,0,0,0
13101201001024,,0,sin_control,0,0,0,0
13101201001025,,0,sin_control,0,0,0,0
13101201001026,,0,sin_control,0,0,0,0
13101201001027,,0,sin_control,0,0,0,0
13101201002002,,0,sin_control,0,0,0,0
13101201002004,,0,sin_control,0,0,0,0
13101201002007,,0,sin_control,0,0,0,0
13101201002017,,0,sin_control,0,0,0,0
13101201002020,,0,sin_control,0,0,0,0
13101201002023,,0,sin_control,0,0,0,0
13101201002024,,0,sin_control,0,0,0,0
13101201002025,,0,sin_control,0,0,0,0
13101201002028,,0,sin_control,0,0,0,0
13101201002029,,0,sin_control,0,0,0,0
13101201002030,,0,sin_control,0,0,0,0
13101201002031,,0,sin_control,0,0,0,0
13101201002032,,0,sin_control,0,0,0,0
13101201002033,,0,sin_control,0,0,0,0
13101201003001,,0,sin_control,0,0,0,0
13101201003002,,0,sin_control,0,0,0,0
13101201003003,,0,sin_control,0,0,0,0
13101201003004,,0,sin_control,0,0,0,0
13101201003005,,0,sin_control,0,0,0,0
13101201003006,,0,sin_control,0,0,0,0
13101201003007,,0,sin_control,0,0,0,0
13101201003008,,0,sin_control,0,0,0,0
13101201003009,,0,sin_control,0,0,0,0
13101201003011,,0,sin_control,0,0,0,0
13101201003013,,0,sin_control,0,0,0,0
13101201003015,,0,sin_control,0,0,0,0
13101201003016,,0,sin_control,0,0,0,0
13101201003017,,0,sin_control,0,0,0,0
13101201003018,,0,sin_control,0,0,0,0
13101201003019,,0,sin_control,0,0,0,0
13101201003020,,0,sin_control,0,0,0,0
13101201003021,,0,sin_control,0,0,0,0
13101201003022,,0,sin_control,0,0,0,0
13101201003023,,0,sin_control,0,0,0,0
13101201003024,,0,sin_control,0,0,0,0
13101201003025,,0,sin_control,0,0,0,0
13101201003026,,0,sin_control,0,0,0,0
13101201003029,,0,sin_control,0,0,0,0
13101201003030,,0,sin_control,0,0,0,0
13101201003031,,0,sin_control,0,0,0,0
13101211001002,,0,sin_control,0,0,0,0
13101211001003,,0,sin_control,0,0,0,0
13101211001004,,0,sin_control,0,0,0,0
13101211001005,,0,sin_control,0,0,0,0
13101211001007,,0,sin_control,0,0,0,0
13101211001009,,0,sin_control,0,0,0,0
13101211001010,,0,sin_control,0,0,0,0
13101211001011,,0,sin_control,0,0,0,0
13101211001013,,0,sin_control,0,0,0,0
13101211001015,,0,sin_control,0,0,0,0
13101211001016,,0,sin_control,0,0,0,0
13101211001017,,0,sin_control,0,0,0,0
13101211001019,,0,sin_control,0,0,0,0
13101211001020,,0,sin_control,0,0,0,0
13101211001021,,0,sin_control,0,0,0,0
13101211001022,,0,sin_control,0,0,0,0
13101211001023,,0,sin_control,0,0,0,0
13101211001026,,0,sin_control,0,0,0,0
13101211001027,,0,sin_control,0,0,0,0
13101211001028,,0,sin_control,0,0,0,0
13101211001029,,0,sin_control,0,0,0,0
13101211001030,,0,sin_control,0,0,0,0
13101211001031,,0,sin_control,0,0,0,0
13101211002011,,0,sin_control,0,0,0,0
13101211002015,,0,sin_control,0,0,0,0
13101211002017,,0,sin_control,0,0,0,0
13101211002018,,0,sin_control,0,0,0,0
13101211002020,,0,sin_control,0,0,0,0
13101221001002,,0,sin_control,0,0,0,0
13101221001004,,0,sin_control,0,0,0,0
13101221001006,,0,sin_control,0,0,0,0
13101221001009,,0,sin_control,0,0,0,0
13101221001010,,0,sin_control,0,0,0,0
13101261001004,,0,sin_control,0,0,0,0
13101261001006,,0,sin_control,0,0,0,0
13101261001013,,0,sin_control,0,0,0,0
13101261001017,,0,sin_control,0,0,0,0
13101261001018,,0,sin_control,0,0,0,0
13101261001019,,0,sin_control,0,0,0,0
13101261001023,,0,sin_control,0,0,0,0
13101261001026,,0,sin_control,0,0,0,0
13101261001028,,0,sin_control,0,0,0,0
13101261001029,,0,sin_control,0,0,0,0
13101261001030,,0,sin_control,0,0,0,0
13101261001035,,0,sin_control,0,0,0,0
13101261001036,,0,sin_control,0,0,0,0
13101261001037,,0,sin_control,0,0,0,0
13101261001038,,0,sin_control,0,0,0,0
13101271001001,,0,sin_control,0,0,0,0
13101271001002,,0,sin_control,0,0,0,0
13101271001016,,0,sin_control,0,0,0,0
13101271002010,,0,sin_control,0,0,0,0
13101271003005,,0,sin_control,0,0,0,0
13101271003006,,0,sin_control,0,0,0,0
13101271004006,,0,sin_control,0,0,0,0
13101271004008,,0,sin_control,0,0,0,0
13101281001001,,0,sin_control,0,0,0,0
13101281002005,,0,sin_control,0,0,0,0
13101281004002,,0,sin_control,0,0,0,0
13101281005001,,0,sin_control,0,0,0,0
13110011001004,,0,sin_control,0,0,0,0
13110011001011,,0,sin_control,0,0,0,0
13110011001018,,0,sin_control,0,0,0,0
13110011001020,,0,sin_control,0,0,0,0
13110011001021,,0,sin_control,0,0,0,0
13110011002004,,0,sin_control,0,0,0,0
13110011002005,,0,sin_control,0,0,0,0
13110011002006,,0,sin_control,0,0,0,0
13110011002009,,0,sin_control,0,0,0,0
13110011002010,,0,sin_control,0,0,0,0
13110011002013,,0,sin_control,0,0,0,0
13110011002014,,0,sin_control,0,0,0,0
13110011002015,,0,sin_control,0,0,0,0
13110011002017,,0,sin_control,0,0,0,0
13110011002018,,0,sin_control,0,0,0,0
13110011002019,,0,sin_control,0,0,0,0
13110011002020,,0,sin_control,0,0,0,0
13110011002021,,0,sin_control,0,0,0,0
13110011002025,,0,sin_control,0,0,0,0
13110011002027,,0,sin_control,0,0,0,0
13110011002028,,0,sin_control,0,0,0,0
13110011003002,,0,sin_control,0,0,0,0
13110011003003,,0,sin_control,0,0,0,0
13110011003005,,0,sin_control,0,0,0,0
13110011003007,,0,sin_control,0,0,0,0
13110011003008,,0,sin_control,0,0,0,0
13110011003018,,0,sin_control,0,0,0,0
13110011003019,,0,sin_control,0,0,0,0
13110011003020,,0,sin_control,0,0,0,0
13110011003022,,0,sin_control,0,0,0,0
13110011003023,,0,sin_control,0,0,0,0
13110011003024,,0,sin_control,0,0,0,0
13110011003025,,0,sin_control,0,0,0,0
13110011003026,,0,sin_control,0,0,0,0
13110011003027,,0,sin_control,0,0,0,0
13110011003029,,0,sin_control,0,0,0,0
13110011003031,,0,sin_control,0,0,0,0
13110011003032,,0,sin_control,0,0,0,0
13110011003033,,0,sin_control,0,0,0,0
13110011003034,,0,sin_control,0,0,0,0
13110011003036,,0,sin_control,0,0,0,0
13110011003037,,0,sin_control,0,0,0,0
13110011003038,,0,sin_control,0,0,0,0
13110011003039,,0,sin_control,0,0,0,0
13110011004006,,0,sin_control,0,0,0,0
13110011004012,,0,sin_control,0,0,0,0
13110011004014,,0,sin_control,0,0,0,0
13110011004016,,0,sin_control,0,0,0,0
13110011004017,,0,sin_control,0,0,0,0
13110011004018,,0,sin_control,0,0,0,0
13110011005001,,0,sin_control,0,0,0,0
13110021001018,,0,sin_control,0,0,0,0
13110021001019,,0,sin_control,0,0,0,0
13110021001020,,0,sin_control,0,0,0,0
13110021001021,,0,sin_control,0,0,0,0
13110021001023,,0,sin_control,0,0,0,0
13110021001024,,0,sin_control,0,0,0,0
13110021002003,,0,sin_control,0,0,0,0
13110021002004,,0,sin_control,0,0,0,0
13110021002008,,0,sin_control,0,0,0,0
13110021002010,,0,sin_control,0,0,0,0
13110021002011,,0,sin_control,0,0,0,0
13110021002012,,0,sin_control,0,0,0,0
13110021002013,,0,sin_control,0,0,0,0
13110021002014,,0,sin_control,0,0,0,0
13110021002015,,0,sin_control,0,0,0,0
13110021002017,,0,sin_control,0,0,0,0
13110021002018,,0,sin_control,0,0,0,0
13110021002019,,0,sin_control,0,0,0,0
13110021002020,,0,sin_control,0,0,0,0
13110021002021,,0,sin_control,0,0,0,0
13110021002022,,0,sin_control,0,0,0,0
13110021002024,,0,sin_control,0,0,0,0
13110021002025,,0,sin_control,0,0,0,0
13110021002027,,0,sin_control,0,0,0,0
13110021002028,,0,sin_control,0,0,0,0
13110021002031,,0,sin_control,0,0,0,0
13110021002032,,0,sin_control,0,0,0,0
13110021002033,,0,sin_control,0,0,0,0
13110021002034,,0,sin_control,0,0,0,0
13110021002035,,0,sin_control,0,0,0,0
13110021002036,,0,sin_control,0,0,0,0
13110021002037,,0,sin_control,0,0,0,0
13110021002039,,0,sin_control,0,0,0,0
13110021002041,,0,sin_control,0,0,0,0
13110021002042,,0,sin_control,0,0,0,0
13110021002043,,0,sin_control,0,0,0,0
13110021002045,,0,sin_control,0,0,0,0
13110021002046,,0,sin_control,0,0,0,0
13110021002047,,0,sin_control,0,0,0,0
13110021002048,,0,sin_control,0,0,0,0
13110021003002,,0,sin_control,0,0,0,0
13110021003003,,0,sin_control,0,0,0,0
13110021003004,,0,sin_control,0,0,0,0
13110021003005,,0,sin_control,0,0,0,0
