propietario|prop_tgr_id|rut
A Y B INVERSIONES LIMITADA|E000000081|76137346-3
A Y B INVERSIONES LTDA|E000000081|76137346-3
A Y C IMPRESORES LIMITADA|E000000082|79731220-7
A Y C V DE INMUE LOT PARK LTDA |E000000083|0-0
A Y D INVERSIONES SPA|E000000084|77883914-8
A Y H INGENIERIA ELECTRICA LIMIT|E000000085|77715230-0
A Y R LIMITADA|E000000086|77565967-K
A Y R PRIETO LTDA|E000000087|76092073-8
A YA INMOBILIARIA SA|E000000088|0-0
A3ARQ SPA|E000000089|0-0
A5 EXPORT SPA|E000000090|76860657-9
AAA SERVICIOS LEGALES LIMITADA|E000000091|77811021-0
AACKRYUM CORP S A|E000000092|0-0
AAGS SERVICIOS Y PROCEDIMIENTOS MEDICOS|E000000093|77157275-8
AANDT ABOGADOS LIMITADA|E000000094|0-0
AARON IMPORTADORA S C I  LTDA|E000000095|0-0
ADM  DE DESARROLLOS INMOBILIARIOS S A |E000000096|99566330-9
ADM  DE FONDOS DE INVERSIONES ABSAL S A |E000000097|76454040-9
ADM DE FONDOS DE INV ABSAL SA|E000000097|76454040-9
ADM FONDOS DE INV ABSAL SA|E000000097|76454040-9
AARONING INGENIERIA NEGOCIOS Y G|E000000097|0-0
AASA SPA|E000000098|77269791-0
AB CREDIT LEASING Y FACTORING S |E000000099|99542780-K
AB CREDIT LEASING Y FACTORING S A |E000000099|99542780-K
AB INVERSIONES LIMITADA|E000000100|0-0
AB INVERSIONES SPA|E000000101|0-0
AB SAMI SERVICIOS INTEGRADOS LIMITADA|E000000102|78289660-1
ADM DE SERVICIOS GENERALES CARME|E000000102|77201009-5
ABAKO   PARTNERS CONSULTORES LIM|E000000103|76089173-8
ABAL CONFECCIONES LTDA|E000000104|79709770-5
ABARCA Y OBREQUE INMOBILIARIA S.P.A.|E000000106|77761903-9
ABARZA MERCADO FERNANDO ENRIQUE|E000000107|0-0
ABAST COMBUSTIBLES SA|E000000108|0-0
ABASTECEDORA COMBUSTIBLE SA|E000000109|0-0
ABASTECEDORA DE COMBUSTIBLE S A|E000000110|0-0
ABASTECEDORA DE COMBUSTIBLES S A|E000000110|0-0
ADM INV DE LA CRUZ LTDA|E000000110|76097269-K
ABASTECIMIENTOS GENERALES S A|E000000111|79847860-5
ABASTECIMIENTOS GENERALES SOCIED|E000000112|77536178-6
ABASTECIMIENTOS TECNICOS LIMITAD|E000000113|77783750-8
ABASTECIMIENTOS TECNICOS LIMITADA|E000000113|77783750-8
ABASTOPLAST LIMITADA|E000000114|78737530-8
ABATTE PRODUCTOS PARA OFICINA S|E000000115|96909950-0
ABATTE PRODUCTOS PARA OFICINA S A|E000000115|96909950-0
ABB S A|E000000116|92805000-9
ABBAV SPA|E000000117|77102128-K
ABBOTT LABORATORIES DE CHILE LTDA|E000000118|81378300-2
ABC INVERSIONES DOS SPA|E000000119|77635031-1
ABDALA Y COMPANIA LIMITADA|E000000120|78125790-7
ABDO ESCAFF Y CIA LIMITADA|E000000121|76483515-8
ADMINIST E INV C Y G LTDA|E000000122|79712560-1
ADMINIST E INVERS C Y G LTDA|E000000122|79712560-1
ABEDRAPO LAGOS SPA|E000000122|76450164-0
ABELLA CONSULTORES LIMITADA|E000000123|76028069-0
ABINGRAF S A|E000000124|77325180-0
ABITO GLOBAL   SERVICIOS PUBLICITARIOS S|E000000126|76157325-K
ABM ABOGADOS SPA |E000000127|76264174-7
ABN AMRO BANK CHILE|E000000128|0-0
ABN AMRO SECURITIZADORA S A|E000000129|0-0
ABN AMRO SECURITIZADORA SA|E000000129|0-0
ABOGADOS CONSULTORES Y CO|E000000130|0-0
ABOGADOS CORREDORES SPA|E000000131|0-0
ABOGADOS E INVERSIONES DIAZ Y CO|E000000132|0-0
ABOGADOS E INVERSIONES DIAZ Y COMPANIA L|E000000133|76409308-9
ABOGADOS PIZARRO BORGONO Y PIZAR|E000000134|0-0
ABOGADOS PIZARRO BORGONO Y PIZARRO S|E000000135|79968890-5
ABOGADOS Y COMPANIA LIMITADA|E000000136|0-0
ABR COMERCIAL SPA|E000000137|76681714-9
ADMINISTRADORA DE CENTROS COMERC|E000000137|99514490-5
ABRAHAM SARFATIS S A|E000000138|0-0
ABRAHAM SARFATIS Y CIA LTDA|E000000139|0-0
ABRAMOVICZ Y COMPANIA LIMITADA|E000000140|86346000-K
ADMINISTRADORA DE CENTROS DEPORT|E000000140|77856940-K
ABS KINESIOLOGOS S A|E000000141|78499880-0
ABSALON ESPINOSA INMOB|E000000142|79808860-2
ABSALON ESPINOSA INMOB |E000000142|79808860-2
ABSALON ESPINOSA INMOBILIARIA LI|E000000143|79808860-2
ABSALON ESPINOSA INMOBILIARIA LIMITADA|E000000143|79808860-2
ABSALON ESPINOSA INMOBILIARIA LT|E000000143|79808860-2
ABSALON ESPINOSA INMOBILIARIA LTDA|E000000143|79808860-2
ABU THUM ROJAS UGARTE Y CIA LTDA|E000000144|0-0
ABUDNIK SPA|E000000145|76777752-3
ABUFHELE MILAD SPA|E000000146|76731977-0
ABURTO Y HERRERA SPA|E000000147|76327248-6
ABUS CHILE SPA|E000000148|76189227-4
AC ASESORIAS EN MARKETING Y COMUNICACION|E000000149|78785780-9
AC CANTAUCO INMOBILIARIA SPA|E000000150|76475735-1
AC INGENIERIA MECANICA LTDA|E000000151|77661294-4
AC S COMPANY S A|E000000152|0-0
AC SPA|E000000153|0-0
ADMINISTRADORA DE MERCADO S A |E000000153|76053932-5
ACACIA INVERSIONES LIMITADA|E000000154|0-0
INVERSIONES ACACIA LIMITADA|E000000154|0-0
ACACIA INVERSIONES SPA|E000000155|76298470-9
ACADEMIA CONSULTORA Y ASESORA TU|E000000156|0-0
ACADEMIA DE ARTES LA CASONA DE L|E000000157|76497980-K
ACADEMIA DE IMPLANTES SPA |E000000158|76448799-0
ACADEMIA DE MUSICA ORIENTE LIMIT|E000000159|77951170-7
ACADEMIA DEL DEPORTE Y LAS ARTES|E000000160|0-0
ACADEMIA DIGITAL DE PSICOLOGIA Y APRENDI|E000000161|77245985-8
ACADEMIA NAC DE EST POLITICOS Y EST|E000000162|0-0
ACADEMIA NAC ESTUDIOS POLITICOS EST|E000000163|0-0
ACADIA S A|E000000164|96758970-5
ADMINISTRADORA PAYNE CAPITAL S A|E000000164|76043745-K
ACB CONSTRUCTOR LIMITADA|E000000165|76585755-4
ACC CHILE SPA|E000000166|76544168-4
ACCESORIOS FRIGORIFICOS SANTIAGO LIMITAD|E000000167|76129059-2
ACCESOS AUTOMATIZADOS LIMITADA|E000000168|77929550-8
ADMINISTRADORA Y RENTAS LAS PERD|E000000168|76493419-9
ACCIONA CENTRO DE NEGOCIOS SPA|E000000169|76778293-4
ADRIANA VIAL OVALLE Y CIA|E000000169|76136250-K
ACCIONES URBANAS LIMITADA|E000000170|76053717-9
ACCO ELECTRICIDAD LIMITADA|E000000171|78827620-6
ACCOR CHILE S A|E000000172|0-0
AEDO DIAZ SOCIEDAD LIMITADA|E000000172|76150546-7
ACCORD LIMITADA|E000000173|78705300-9
ACEITES NATURALES DE CHILE LTDA|E000000174|0-0
ACEITOM ALARCON S A|E000000175|0-0
ACENOR ACEROS DEL NORTE SA|E000000176|77660960-9
ACERMAQ DIVISION INMOBILIARIA SPA|E000000177|77106404-3
ACEROS MORONI LIMITADA|E000000179|0-0
ACEROS SCHERSON S A|E000000180|0-0
ACEROS SCHERSON SA|E000000180|0-0
ACEROS SCHERSON SPA|E000000181|79645900-K
ACEROS Y METALES SPA|E000000182|87717600-2
ACEVEDO HECTOR Y OT CIA LTDA|E000000183|76147621-1
ACEVEDO Y ALVARADO COMPANIA LIMITADA|E000000184|77724460-4
ACEVEDO Y COMPANIA LIMITADA|E000000185|76147621-1
ACEVEDO Y OLIVARES LTDA|E000000186|76131934-5
ACF INMOBILIARIA LIMITADA|E000000187|76442176-0
INMOBILIARIA A C F LTDA|E000000187|76442176-0
ACF PROCESOS LTDA|E000000188|78375510-6
ACGP INMOBILIARIA LIMITADA|E000000189|77443044-K
ACH EQUIPOS LIMITADA|E000000190|0-0
ACHERNAR INGENIERIA PROYECTOS Y|E000000191|76598880-2
ACKERMANN Y ASOCIADOS CORREDORES|E000000192|77517168-5
ACKERMANN Y ASOCIADOS CORREDORES DE SEGU|E000000193|0-0
ACL INGENIERIA Y CONSTRUCCION LIMITADA|E000000194|76204260-6
ACM CONSTRUCCIONES SPA|E000000195|76653826-6
ACOFI SPA|E000000196|76761049-1
ACOFIN GLOBAL MARKET INC|E000000197|0-0
ACOGER SANTIAGO S A|E000000198|76331100-7
AGENCIA DE COMUNICACIONES Y MARKETING BL|E000000198|76332194-0
ACOGER SANTIAGO SERVICIOS FUNERARIOS S A|E000000199|76631730-8
ACONCAGUA DESARROLLO INMOB LTDA|E000000200|76619830-9
ACONCAGUA DESARROLLO INMOBILIARIO LIMITA|E000000200|76619830-9
AGENCIA DE NEGOCIOS S A|E000000200|76689457-7
ACONCAGUA INVESTMENT COMPANY SPA|E000000201|76339667-3
AGENCIA DE TRANSPORTES NACIONAL|E000000201|77174670-5
AGENCIA DE VIAJES TURAVION LIMIT|E000000202|96762210-9
AGENCIA DE VIAJES TURAVION LIMITADA|E000000202|96762210-9
AGENCIA DE VIAJES TURAVION LTDA |E000000202|96762210-9
ACOPLADOS YAK LTDA|E000000203|83559900-0
ACOSTA AND AGUAYO S.A.|E000000204|0-0
ACOSTA REINOSO CARLOS JESUS ENCARNACION|E000000205|0-0
ACP ASESORIA JURIDICA Y GESTION INMOBILI|E000000206|76322132-6
ACQUA TIEMPO S A|E000000207|76605140-5
ACREM SPA|E000000209|76407681-8
ACRIS GESTION INMOBILIARIA SPA|E000000210|76792635-9
ACRUX ODONTOLOGIA LIMITADA|E000000211|77292361-9
ACRUX S A|E000000212|96598310-4
ACS PROYECTOS OBRAS Y CONSTRUCCI|E000000213|0-0
ACTEGA TERRA CHILE LIMITADA|E000000214|77340880-7
ACTIC CONSULTORE LTDA|E000000215|78326230-4
ACTIC CONSULTORES LTDA|E000000215|78326230-4
ACTIUM S A|E000000216|76049246-9
ACTIVATE PRODUCCIONES LIMITADA|E000000217|76570310-7
ACTIVIDADES DEPORTIVAS KEVIN INACIO E.I.|E000000218|77137413-1
ACTIVIDADES Y EVENTOS DEPORTIVOS|E000000219|76282909-6
ACTIVO EMPRESARIAL SPA|E000000220|76316065-3
ACTIVO INVERSIONES SPA|E000000221|76914456-0
ACTIVOS CHILE CAPACITACION SPA|E000000222|77375204-4
ACTUAL ASESORIAS SPA|E000000223|76016802-5
AGRICOLA E INMOBILIARIA LOS ALTOS DE ZAP|E000000223|77616360-0
ACTUAL CHILE SPA|E000000224|76513753-5
ACTUAL DUBLE ALMEYDA II SPA|E000000225|0-0
ACTUAL SERV SA PARA BROWN NORTE FIP|E000000226|0-0
ACTUAL SERVIC SA PARA ANTONIO VARAS FIP|E000000227|0-0
ACTUAL SERVICIOS S A |E000000228|99580360-7
AGRICOLA E INMOBILIARIA SAN ANDR|E000000228|76156151-0
ACTYON INGENIERIA LIMITADA|E000000229|76021315-2
AGRICOLA E INMOBILIARIA SAN ISID|E000000229|78195510-8
ACU A LEON Y COMPA IA LIMITADA|E000000230|0-0
ACUICOLA CHUNGUNGO LIMITADA|E000000231|0-0
ACUICOLA LUIS BARRERA EIRL|E000000232|76183783-4
AGRICOLA E INVERSIONES LO AGUSTI|E000000232|76351037-9
ACUNA LEON Y COMPANIA LIMITADA|E000000233|76602527-7
ACUNA Y ASOCIADOS S A|E000000234|96660080-2
AGRICOLA E INVERSIONES LOS NOTRO|E000000234|96939120-1
ACUNA Y VELASQUEZ LTDA|E000000235|78609530-1
ACUYMAR INMOBILIARIA LIMITADA|E000000236|76262161-4
ACVERTICAL INGENIERIA Y ARQUITEC|E000000237|0-0
AGRICOLA E INVERSIONES SANTA CATALIN|E000000237|76078504-0
AD CAPITAL ASESORIAS E INVERSION|E000000238|0-0
AD CAPITAL ASESORIAS E INVERSIONES LIMIT|E000000239|0-0
AD F BOISIER SA P FIIP EL ABETO|E000000240|0-0
AD ODONTOLOGICA SPA|E000000241|76278567-6
AD PRESTACIONES ODONTOLOGICAS E INMOBIL|E000000242|76733577-6
ADA SPA|E000000243|77133573-K
ADARON SA|E000000244|0-0
ADAUY HENRIQUEZ Y COMPANIA LIMIT|E000000245|78215830-9
ADAUY HENRIQUEZ Y COMPANIA LTDA |E000000245|78215830-9
ADB F INMOB SA PARA LOS SAUCES FIP|E000000246|0-0
ADC S A|E000000247|0-0
ADD MATT SPA|E000000248|76489578-9
ADDENS CONSULTORES LIMITADA|E000000249|0-0
ADDOCEO SPA|E000000250|77608033-0
ADEJE CONSTRUCCIONES LTDA|E000000251|0-0
ADELFA VALLEJOS E HIJAS LIMITADA|E000000252|78076460-0
ADELFOS SPA|E000000253|76857774-9
ADEMARO PELLACANI E HIJOS Y CIA LTD|E000000254|79809500-5
ADEPAC SA|E000000255|96575450-4
ADESSY IMP CHILE LTDA|E000000256|76771070-4
ADINSA S A|E000000257|0-0
ADITIVOS PLASTICOS LIMITADA|E000000258|76091380-4
ADLA COMPANY SPA|E000000259|77677099-K
ADLER STEEL CHILE SPA|E000000260|92844000-1
ADM CONST E INMOB CERRO COLORADO|E000000263|0-0
ADM DE CENTROS MEDICOS Y DENTALE|E000000264|76709870-7
ADM DE ESTC DE SERV SERCO LTDA|E000000265|0-0
AGRICOLA TRIESTE SPA|E000000265|77838078-1
ADM DE INV COYANCURA S A EN RE|E000000266|0-0
AGRICOLA VALLE QUILIMARI LTDA|E000000266|88935100-4
ADM DE INVERSIONES LOS COIPOS LT|E000000267|0-0
AGRICOLA Y COMERCIAL CALLEJAS MIRANDA EX|E000000267|89922400-0
AGRICOLA Y COMERCIAL FROMISTA S A|E000000268|78189250-5
ADM DES SA PARA FONDO DE INV PRIV NVA ET|E000000269|0-0
ADM E INV COYANCURA LTDA|E000000270|0-0
ADM E INV MARTINEZ GAMBOA LTDA|E000000271|0-0
ADM E INVERSIONES MARTINEZ GAMBO|E000000272|0-0
ADM FONDOS DE PENSIONES HABITAT S A|E000000273|98000100-8
ADM FONDOS INV ABSAL SA|E000000274|0-0
ADM GEST INTEGRALES LONCO LTDA|E000000275|0-0
ADM INV ABSAL SA|E000000276|0-0
ADM INV Y ASESORIAS INM 26 DE JU|E000000278|0-0
ADM METROPOLIS SA|E000000279|0-0
ADM NVA COSTANERA S A|E000000280|0-0
ADM NVA COSTANERA SA PARA FONDO|E000000281|0-0
ADM PAZMA S A P FIP LOS ACANTOS|E000000282|0-0
ADM PAZMA SA POR PERNAMBUCO F I P |E000000283|0-0
ADM VIALCORP SA|E000000284|76837020-6
ADM Y SERVICIOS LA FLORIDA S A|E000000285|0-0
ADMIN MERCADO C   I MUNICIP STGO|E000000286|0-0
ADMINIST  E INVERS  LORENA LTDA |E000000287|0-0
ADMINIST CONTABLE Y TRIBUTARIA L|E000000288|0-0
AGROSUPER C DE ALIMENTOS LTDA|E000000288|79984240-8
ADMINIST DE RESTAURANTES ARESTA|E000000289|0-0
ADMINISTRAC EDIF AV A VESPUCIO NTE|E000000291|0-0
ADMINISTRACION  SEGURIDAD Y PREV|E000000292|0-0
ADMINISTRACION DE EDIFICIO PLAZA|E000000293|56016240-5
ADMINISTRACION E INVERSIONES ALE|E000000294|0-0
ADMINISTRACION E INVERSIONES SCHILLINGAB|E000000295|0-0
ADMINISTRACION EDIF UNION ESPANOLA|E000000296|50013500-K
ADMINISTRACION EDIFICACION Y EXPLOTACIO|E000000297|0-0
ADMINISTRACION FERIA MUNICIPAL|E000000298|0-0
ADMINISTRACION Y ASESORIAS LTDA|E000000299|0-0
ADMINISTRACION Y DESARROLLO DE S|E000000300|0-0
ADMINISTRACION Y REDITOS LIMITAD|E000000301|77348440-6
ADMINISTRACIONES Y REDITOS LIMIT|E000000301|77348440-6
ADMINISTRACIONES Y REDITOS LIMITADA|E000000301|77348440-6
ADMINISTRACIONES ASESORIAS LTDA|E000000302|79692040-8
ADMINISTRACIONES E INMOBILIARIA|E000000303|79702310-8
ADMINISTRACIONES E INV R Y P LTD|E000000304|0-0
ADMINISTRACIONES E INVERSIONES C Y G LIM|E000000305|79712560-1
ADMINISTRACIONES E INVERSIONES M|E000000306|0-0
ADMINISTRACIONES E INVERSIONES ROOM APAR|E000000307|77566940-3
ADMINISTRACIONES FORESTALES MAYP|E000000308|0-0
ADMINISTRACIONES INMOB SA|E000000309|0-0
ADMINISTRACIONES INMOBILIARIAS L|E000000310|76052421-2
ADMINISTRACIONES INMOBILIARIAS LIMITADA|E000000311|76052421-2
ADMINISTRACIONES LAS BELLOTAS LTDA|E000000312|78106560-9
ADMINISTRACIONES MARIN PAUL|E000000313|76056597-0
ADMINISTRACIONES POLIPARK LIMITADA|E000000314|76128202-6
ADMINISTRACIONES SAN ANDRES SPA|E000000315|76613876-4
ADMINISTRACIONES TRES PUNTAS LIM|E000000316|77364770-4
ADMINISTRACIONES Y ASESORIAS LTDA|E000000317|79692040-8
ADMINISTRACIONES Y SERVICIOS SENAL PARKI|E000000318|76034254-8
ADMINISTRACIONES ZARHI|E000000319|77450577-6
ADMINISTRADORA ALEKINE S A|E000000320|99523870-5
ADMINISTRADORA ASAI S A |E000000321|76417620-0
ADMINISTRADORA CARRASCO LTDA|E000000322|0-0
ADMINISTRADORA CARRION LIMITADA|E000000323|76411154-0
ADMINISTRADORA CENTROS MEDICOS PHILLIPS|E000000324|76043427-2
ALATHEIA MEDICAL SPA|E000000324|76036479-7
ADMINISTRADORA DE ACTIVOS INMOBI|E000000325|77125469-1
ADMINISTRADORA DE CAPITAL INMOBILIARIO S|E000000326|0-0
ADMINISTRADORA DE CENTROS COMERCIALES S|E000000328|99514490-5
ADMINISTRADORA DE CENTROS DE DIS|E000000329|0-0
ADMINISTRADORA DE CENTROS DE DISTRIBUCIO|E000000330|0-0
ADMINISTRADORA DE CONSULTAS MEDICAS Y OF|E000000332|77662220-6
ADMINISTRADORA DE CONVENIOS LOS|E000000333|76263624-7
ADMINISTRADORA DE CREDITOS E INV|E000000334|78301410-6
ADMINISTRADORA DE DESARROLLO INMOB  S A |E000000335|0-0
ADMINISTRADORA DE EMPRESAS MARCARIA COM|E000000336|76580782-4
ADMINISTRADORA DE FONDOS DE INVERSION PR|E000000337|0-0
ADMINISTRADORA DE FONDOS DE PENS|E000000338|0-0
ADMINISTRADORA DE FONDOS DE PENSIONES CA|E000000339|0-0
ADMINISTRADORA DE FONDOS DE PENSIONES PL|E000000340|0-0
ADMINISTRADORA DE FONDOS DE PENSIONES S|E000000341|0-0
ADMINISTRADORA DE FONDOS PIETRA S A |E000000342|76961750-7
ADMINISTRADORA DE FRANQUICIAS AM|E000000343|0-0
ADMINISTRADORA DE HOTELES COMODORO SPA|E000000344|77004348-4
ADMINISTRADORA DE INVERSIONES AL|E000000345|0-0
ALEJANDRO ESTEBAN CANDIA SILVA INVERSION|E000000345|76422346-2
ADMINISTRADORA DE INVERSIONES E|E000000346|0-0
ALEJANDRO GAETE Y COMPANIA LTDA|E000000346|78622350-4
ADMINISTRADORA DE INVERSIONES GA|E000000347|0-0
ADMINISTRADORA DE INVERSIONES GAIBADU LI|E000000348|0-0
ADMINISTRADORA DE INVERSIONES GSI CAPITA|E000000349|76911653-2
ALERTA AL CONOCIMIENTO S A|E000000349|96691250-2
ADMINISTRADORA DE INVERSIONES LA|E000000350|0-0
ADMINISTRADORA DE PROYECTOS INMO|E000000352|0-0
ADMINISTRADORA DE RESTAURANTES A|E000000353|76662333-6
ADMINISTRADORA DE SERVICIOS GRAL|E000000354|0-0
ADMINISTRADORA DE TRANSPORTES LAS NIEVES|E000000355|96615790-9
ADMINISTRADORA E INMOB SAN NICOL|E000000356|99594850-8
ADMINISTRADORA E INMOBILIARIA EDIFICIOS|E000000357|0-0
ADMINISTRADORA E INVERS GAIBADU|E000000358|0-0
ADMINISTRADORA E INVERSIONES PAN|E000000359|0-0
ADMINISTRADORA E INVERSIONES SALAR SPA|E000000360|77377827-2
ADMINISTRADORA EMILE ALLAIS SPA|E000000361|76795443-3
ADMINISTRADORA ESTABLECIMIENTOS|E000000362|0-0
ADMINISTRADORA EUROPA S A|E000000363|76005849-1
ADMINISTRADORA EUROPA S A |E000000363|76005849-1
ADMINISTRADORA FORTALEZA SA|E000000364|76376090-1
ADMINISTRADORA HOGARES S A|E000000365|0-0
ALIMENTOS E INVERSIONES VALLES D|E000000365|76186718-0
ADMINISTRADORA HOGARES SA LOS ANDES FIP|E000000366|0-0
ADMINISTRADORA LOS PARQUES LIMITADA|E000000367|96882630-1
ADMINISTRADORA LOS PARQUES S A|E000000368|0-0
ADMINISTRADORA METROPOLIS S A|E000000369|99561380-8
ADMISTRADORA METROPOLIS S A|E000000369|99561380-8
ADMINISTRADORA NISA LIMITADA|E000000370|76186956-6
ADMINISTRADORA NOBLEZA SA FIP A  MOOCK|E000000371|0-0
ADMINISTRADORA NUEVA MARBELLAS A|E000000372|99589650-8
ADMINISTRADORA PLAZA VESPUCIO S A|E000000374|79990670-8
ADMINISTRADORA PLAZA VESPUCIO SA|E000000374|79990670-8
ADMINISTRADORA SAN CARLOS S A |E000000375|96825950-4
ADMINISTRADORA SAN CRISTOBAL S A|E000000376|76194335-9
ADMINISTRADORA SAN FRANCISCO S A|E000000377|99549230-K
ALMAGRO DCC SA|E000000377|88452300-1
ADMINISTRADORA SAN LUIS SPA|E000000378|77278776-6
ALMATER SERVICIOS DE PRECISION Y CONTR|E000000378|96700690-4
ADMINISTRADORA SINTRA LTDA|E000000379|82290600-1
ADMINISTRADORA TIERRA FUTURA LIM|E000000380|76101609-1
ADMINISTRADORA TIERRA FUTURA LIMITADA|E000000380|76101609-1
ADMINISTRADORA VANTAGE LTDA |E000000381|76146131-1
ADMINISTRADORA Y COMERCIALIZADORA EM|E000000382|0-0
ALQUIMIA INGENIEROS S A|E000000382|76365372-2
ADMINISTRADORA Y DE INVERSIONES|E000000383|0-0
ALTA ASESORIAS LIMITADA|E000000383|77362570-0
ADMINISTRADORA Y EVALUADORA DE R|E000000384|0-0
ADMIRA PUBLICIDAD SPA|E000000386|76536156-7
