cluster_id|rank|b_id|b_name|score
69|2|77627775-4|ALARCON  SPA|0.5529
69|3|76480936-K|NAVEA MUSIC LIMITADA|0.6402
69|3|76680049-1|INMOBILIARIA PEDRO ALARCON S.A.|0.5127
70|1|78466840-1|A.P.B.F S.A|1.0
70|1|77480160-K|ACEROS INOXIDABLES DINOXA LTDA|0.7839
70|2|99530150-4|APE S A|0.4892
70|2|77636305-7|ACEROS INOX SPA|0.6591
70|3|76102325-K|APOLO S.A.|0.4733
70|3|76059241-2|TRANSPORTES INOX LIMITADA|0.6533
71|1|78732440-1|A R H INGENIERIA Y CONSTRUCCION LIMITADA|1.0
71|1|76408009-2|TRANSPORTES MORONI LIMITADA|0.704
71|2|76086486-2|INGENIERIA Y CONSTRUCCION LIMITADA|0.8708
71|2|77129162-7|LA ACEROS  LIMITADA|0.6884
71|3|76504552-5|INGENIERÍA Y CONSTRUCCION LIMITADA|0.8708
71|3|76860368-5|ALUMINIOS MORONI LIMITADA|0.6873
72|1|79645900-K|ACEROS SCHERSON SPA|0.7692
72|2|93926000-5|ACEROS CHILE S A|0.7098
72|3|99533000-8|ACEROS AUSTRAL S A|0.6479
73|1|77495960-2|A & S TECNOLOGIAS COMPUTACIONALES LIMITADA|0.8474
73|1|76038726-6|MT EQUIPOS LIMITADA|0.6446
73|2|76197417-3|ELECTRONICA Y TECNOLOGIAS COMPUTACIONALES LIMITADA|0.7075
73|2|77852610-7|FUALCO EQUIPOS LIMITADA|0.6069
73|3|76181697-7|TECNOLOGIAS E INGENIERIAS COMPUTACIONALES LIMITADA|0.6965
73|3|76046420-1|EQUIPOS MEDICOS LIMITADA|0.588
74|1|84519800-4|A SCHMITT Y ASOCIADOS LTDA|1.0
74|1|77517168-5|ACKERMANN Y ASOCIADOS SPA|0.7621
74|2|76023265-3|INVERSIONES SCHMITT Y COMPANIA|0.5916
74|2|77910890-2|GESTION Y CORREDORA DE SEGUROS LIMITADA|0.5716
74|3|87512400-5|HAYE Y SCHMITT COMPANIA LIMITADA|0.5605
74|3|76932157-8|CORREDORES DE SEGUROS REBOLLEDO Y ASOCIADOS LIMITADA|0.5548
75|1|76167578-8|A SERVICES S.A|0.6366
75|1|76615132-9|GLOBAL MARKET SPA|0.6924
75|2|96839440-1|PROFESIONALES A SU SERVICIO S A|0.4596
75|2|77960149-8|GLOBAL MARKET SPA|0.6924
75|3|79675180-0|CONSTRUCTORA SERENA S.A.|0.4007
75|3|77285352-1|GLOBAL MARKET SPA|0.6924
76|1|76887217-1|INVERSIONES SIX SPA|0.482
76|1|70630900-4|ACOP CAMARA NACIONAL DE SERVICIOS INMOBILIARIOS A G|0.7913
76|2|77384602-2|SIX LIMITADA|0.4319
76|2|65137940-7|FUND ASIST SOCIAL DE ACOP CAMARA NAC SERV INMOB A G|0.7025
76|3|76022167-8|SIX SIGMA GESTION CONSULTORES S.A.|0.4306
76|3|76662590-8|CENTRO DE CAPACITACION ACOP LIMITADA|0.5201
77|1|76268861-1|A.T.M. ASCENSORES LIMITADA|1.0
77|1|78171100-4|ACOSTA Y AGUAYO SPA|0.7764
77|2|76746517-3|A Y B ASCENSORES LIMITADA|0.7226
77|2|76487650-4|ACOSTA Y CUSSEN S A|0.642
77|3|76029693-7|A Y V ASCENSORES LIMITADA|0.7185
77|3|76107158-0|AGUAYO ARBEA Y RUBIO S.A.|0.6257
78|1|96811670-3|INVERSIONES SANTA MARIA S A|1.0
78|1|77302933-4|CONSTRUCCIONES CARLOS REINOSO E.I.R.L.|0.6286
