propietario|prop_tgr_id
ABARCA RAMIREZ AND ASOCIADOS COM|E000000045
A CONST E INM CERRO COLORADO|E000000046
A D ADMINISTRACION INMOBILIARIA SPA|E000000047
A DENHAM Y CIA LTDA|E000000049
A E INV NAVETTA MANAGEMENT CHILE|E000000050
A E INV NAVETTA MANGEMENT CHILE|E000000050
ABITO GLOBAL   SERVICIOS PUBLICI|E000000050
A F P SANTA MARIA|E000000051
A F P SANTA MARIA S A|E000000051
A FUENZALIDA Y CIA|E000000052
A G CONSTRUCCIONES S A|E000000053
A G I LONCO LTDA|E000000054
AGI LONCO LTDA|E000000054
A G MICROEMP TALLERES LAB SOL Y SERV|E000000055
A GREMIAL COM LOC MERCADO VEGA C|E000000056
A H GROUP SPA|E000000057
A HARTRODT CHILE S A|E000000058
A I G CHILE SPA|E000000059
A LA VUELTA PRODUCCIONES SPA|E000000061
A LILLO Y COMPANIA LIMITADA|E000000062
A LYON Y CIA S A|E000000063
A M C CONSULTORES LTDA|E000000064
A M S GALERIA DE ARTE S A|E000000065
A M Y ASOCIADOS ASESORES CONSULT|E000000066
A M Z INGENIERIA LIMITADA|E000000067
A MOB E INMOB MONTERO VIDAL LTDA|E000000068
A MUSIC LTDA|E000000069
A P B F S A|E000000070
A R H INGENIERIA Y CONSTRUCCION LIMITADA|E000000071
ACEROS INOX DINOXA LTDA|E000000071
A S ASESORIAS Y SERVICIOS LIMITADA|E000000072
A S TECNOLOGIAS COMPUTACIONALES LIMITA|E000000073
A SCHMITT Y ASOCIADOS LIMITADA|E000000074
A SEREMPSA S A|E000000075
A SIX SA|E000000076
A SIX SOCIEDAD ANONIMA|E000000076
A T M  ASCENSORES LIMITADA|E000000077
ACOP CAMARA NACIONAL DE SERV INMOBILIARI|E000000077
A V INVERSIONES SANTA MARIA S A|E000000078
INVERSIONES SANTA MARIA S A |E000000078
A VILLACURA E HIJOS LTDA|E000000079
A Y A INMOBILIARIA S A|E000000080
ACR P SPA|E000000080
A Y B INVERSIONES LIMITADA|E000000081
A Y B INVERSIONES LTDA|E000000081
A Y C IMPRESORES LIMITADA|E000000082
A Y C V DE INMUE LOT PARK LTDA |E000000083
A Y D INVERSIONES SPA|E000000084
A Y H INGENIERIA ELECTRICA LIMIT|E000000085
A Y R LIMITADA|E000000086
A Y R PRIETO LTDA|E000000087
A YA INMOBILIARIA SA|E000000088
A3ARQ SPA|E000000089
A5 EXPORT SPA|E000000090
AAA SERVICIOS LEGALES LIMITADA|E000000091
AACKRYUM CORP S A|E000000092
AAGS SERVICIOS Y PROCEDIMIENTOS MEDICOS|E000000093
AANDT ABOGADOS LIMITADA|E000000094
AARON IMPORTADORA S C I  LTDA|E000000095
AARONING INGENIERIA NEGOCIOS Y G|E000000097
ADM  DE DESARROLLOS INMOBILIARIOS S A |E000000097
ADM  DE FONDOS DE INVERSIONES ABSAL S A |E000000098
ADM DE FONDOS DE INV ABSAL SA|E000000098
ADM FONDOS DE INV ABSAL SA|E000000098
AASA SPA|E000000098
AB CREDIT LEASING Y FACTORING S |E000000099
AB CREDIT LEASING Y FACTORING S A |E000000099
AB INVERSIONES LIMITADA|E000000100
AB INVERSIONES SPA|E000000101
AB SAMI SERVICIOS INTEGRADOS LIMITADA|E000000102
ABAKO   PARTNERS CONSULTORES LIM|E000000103
ADM DE SERVICIOS GENERALES CARME|E000000103
ABAL CONFECCIONES LTDA|E000000104
ABARCA Y OBREQUE INMOBILIARIA S.P.A.|E000000106
ABARZA MERCADO FERNANDO ENRIQUE|E000000107
ABAST COMBUSTIBLES SA|E000000108
ABASTECEDORA COMBUSTIBLE SA|E000000109
ABASTECEDORA DE COMBUSTIBLE S A|E000000110
ABASTECEDORA DE COMBUSTIBLES S A|E000000110
ABASTECIMIENTOS GENERALES S A|E000000111
ADM INV DE LA CRUZ LTDA|E000000111
ABASTECIMIENTOS GENERALES SOCIED|E000000112
ABASTECIMIENTOS TECNICOS LIMITAD|E000000113
ABASTECIMIENTOS TECNICOS LIMITADA|E000000113
ABASTOPLAST LIMITADA|E000000114
ABATTE PRODUCTOS PARA OFICINA S|E000000115
ABATTE PRODUCTOS PARA OFICINA S A|E000000115
ABB S A|E000000116
ABBAV SPA|E000000117
ABBOTT LABORATORIES DE CHILE LTDA|E000000118
ABC INVERSIONES DOS SPA|E000000119
ABDALA Y COMPANIA LIMITADA|E000000120
ABDO ESCAFF Y CIA LIMITADA|E000000121
ABEDRAPO LAGOS SPA|E000000122
ADMINIST E INV C Y G LTDA|E000000123
ADMINIST E INVERS C Y G LTDA|E000000123
ABELLA CONSULTORES LIMITADA|E000000123
ABINGRAF S A|E000000124
ABITO GLOBAL   SERVICIOS PUBLICITARIOS S|E000000126
ABM ABOGADOS SPA |E000000127
ABN AMRO BANK CHILE|E000000128
ABN AMRO SECURITIZADORA S A|E000000129
ABN AMRO SECURITIZADORA SA|E000000129
ABOGADOS CONSULTORES Y CO|E000000130
ABOGADOS CORREDORES SPA|E000000131
ABOGADOS E INVERSIONES DIAZ Y CO|E000000132
ABOGADOS E INVERSIONES DIAZ Y COMPANIA L|E000000133
ABOGADOS PIZARRO BORGONO Y PIZAR|E000000134
ABOGADOS PIZARRO BORGONO Y PIZARRO S|E000000135
ABOGADOS Y COMPANIA LIMITADA|E000000136
ABR COMERCIAL SPA|E000000137
ABRAHAM SARFATIS S A|E000000138
ADMINISTRADORA DE CENTROS COMERC|E000000138
ABRAHAM SARFATIS Y CIA LTDA|E000000139
ABRAMOVICZ Y COMPANIA LIMITADA|E000000140
ABS KINESIOLOGOS S A|E000000141
ADMINISTRADORA DE CENTROS DEPORT|E000000141
ABSALON ESPINOSA INMOB|E000000142
ABSALON ESPINOSA INMOB |E000000142
ABSALON ESPINOSA INMOBILIARIA LI|E000000143
ABSALON ESPINOSA INMOBILIARIA LIMITADA|E000000143
ABSALON ESPINOSA INMOBILIARIA LT|E000000143
ABSALON ESPINOSA INMOBILIARIA LTDA|E000000143
ABU THUM ROJAS UGARTE Y CIA LTDA|E000000144
ABUDNIK SPA|E000000145
ABUFHELE MILAD SPA|E000000146
ABURTO Y HERRERA SPA|E000000147
ABUS CHILE SPA|E000000148
AC ASESORIAS EN MARKETING Y COMUNICACION|E000000149
AC CANTAUCO INMOBILIARIA SPA|E000000150
AC INGENIERIA MECANICA LTDA|E000000151
AC S COMPANY S A|E000000152
AC SPA|E000000153
ACACIA INVERSIONES LIMITADA|E000000154
INVERSIONES ACACIA LIMITADA|E000000154
ADMINISTRADORA DE MERCADO S A |E000000154
ACACIA INVERSIONES SPA|E000000155
ACADEMIA CONSULTORA Y ASESORA TU|E000000156
ACADEMIA DE ARTES LA CASONA DE L|E000000157
ACADEMIA DE IMPLANTES SPA |E000000158
ACADEMIA DE MUSICA ORIENTE LIMIT|E000000159
ACADEMIA DEL DEPORTE Y LAS ARTES|E000000160
ACADEMIA DIGITAL DE PSICOLOGIA Y APRENDI|E000000161
ACADEMIA NAC DE EST POLITICOS Y EST|E000000162
ACADEMIA NAC ESTUDIOS POLITICOS EST|E000000163
ACADIA S A|E000000164
ACB CONSTRUCTOR LIMITADA|E000000165
ADMINISTRADORA PAYNE CAPITAL S A|E000000165
ACC CHILE SPA|E000000166
ACCESORIOS FRIGORIFICOS SANTIAGO LIMITAD|E000000167
ACCESOS AUTOMATIZADOS LIMITADA|E000000168
ACCIONA CENTRO DE NEGOCIOS SPA|E000000169
ADMINISTRADORA Y RENTAS LAS PERD|E000000169
ACCIONES URBANAS LIMITADA|E000000170
ADRIANA VIAL OVALLE Y CIA|E000000170
ACCO ELECTRICIDAD LIMITADA|E000000171
ACCOR CHILE S A|E000000172
ACCORD LIMITADA|E000000173
AEDO DIAZ SOCIEDAD LIMITADA|E000000173
ACEITES NATURALES DE CHILE LTDA|E000000174
ACEITOM ALARCON S A|E000000175
ACENOR ACEROS DEL NORTE SA|E000000176
ACERMAQ DIVISION INMOBILIARIA SPA|E000000177
ACEROS MORONI LIMITADA|E000000179
ACEROS SCHERSON S A|E000000180
ACEROS SCHERSON SA|E000000180
ACEROS SCHERSON SPA|E000000181
ACEROS Y METALES SPA|E000000182
ACEVEDO HECTOR Y OT CIA LTDA|E000000183
ACEVEDO Y ALVARADO COMPANIA LIMITADA|E000000184
ACEVEDO Y COMPANIA LIMITADA|E000000185
ACEVEDO Y OLIVARES LTDA|E000000186
ACF INMOBILIARIA LIMITADA|E000000187
INMOBILIARIA A C F LTDA|E000000187
ACF PROCESOS LTDA|E000000188
ACGP INMOBILIARIA LIMITADA|E000000189
ACH EQUIPOS LIMITADA|E000000190
ACHERNAR INGENIERIA PROYECTOS Y|E000000191
ACKERMANN Y ASOCIADOS CORREDORES|E000000192
ACKERMANN Y ASOCIADOS CORREDORES DE SEGU|E000000193
ACL INGENIERIA Y CONSTRUCCION LIMITADA|E000000194
ACM CONSTRUCCIONES SPA|E000000195
ACOFI SPA|E000000196
ACOFIN GLOBAL MARKET INC|E000000197
ACOGER SANTIAGO S A|E000000198
ACOGER SANTIAGO SERVICIOS FUNERARIOS S A|E000000199
AGENCIA DE COMUNICACIONES Y MARKETING BL|E000000199
ACONCAGUA DESARROLLO INMOB LTDA|E000000200
ACONCAGUA DESARROLLO INMOBILIARIO LIMITA|E000000200
ACONCAGUA INVESTMENT COMPANY SPA|E000000201
AGENCIA DE NEGOCIOS S A|E000000201
AGENCIA DE TRANSPORTES NACIONAL|E000000202
AGENCIA DE VIAJES TURAVION LIMIT|E000000203
AGENCIA DE VIAJES TURAVION LIMITADA|E000000203
AGENCIA DE VIAJES TURAVION LTDA |E000000203
ACOPLADOS YAK LTDA|E000000203
ACOSTA AND AGUAYO S.A.|E000000204
ACOSTA REINOSO CARLOS JESUS ENCARNACION|E000000205
ACP ASESORIA JURIDICA Y GESTION INMOBILI|E000000206
ACQUA TIEMPO S A|E000000207
ACREM SPA|E000000209
ACRIS GESTION INMOBILIARIA SPA|E000000210
ACRUX ODONTOLOGIA LIMITADA|E000000211
ACRUX S A|E000000212
ACS PROYECTOS OBRAS Y CONSTRUCCI|E000000213
ACTEGA TERRA CHILE LIMITADA|E000000214
ACTIC CONSULTORE LTDA|E000000215
ACTIC CONSULTORES LTDA|E000000215
ACTIUM S A|E000000216
ACTIVATE PRODUCCIONES LIMITADA|E000000217
ACTIVIDADES DEPORTIVAS KEVIN INACIO E.I.|E000000218
ACTIVIDADES Y EVENTOS DEPORTIVOS|E000000219
ACTIVO EMPRESARIAL SPA|E000000220
ACTIVO INVERSIONES SPA|E000000221
ACTIVOS CHILE CAPACITACION SPA|E000000222
ACTUAL ASESORIAS SPA|E000000223
ACTUAL CHILE SPA|E000000224
AGRICOLA E INMOBILIARIA LOS ALTOS DE ZAP|E000000224
ACTUAL DUBLE ALMEYDA II SPA|E000000225
ACTUAL SERV SA PARA BROWN NORTE FIP|E000000226
ACTUAL SERVIC SA PARA ANTONIO VARAS FIP|E000000227
ACTUAL SERVICIOS S A |E000000228
ACTYON INGENIERIA LIMITADA|E000000229
AGRICOLA E INMOBILIARIA SAN ANDR|E000000229
ACU A LEON Y COMPA IA LIMITADA|E000000230
AGRICOLA E INMOBILIARIA SAN ISID|E000000230
ACUICOLA CHUNGUNGO LIMITADA|E000000231
ACUICOLA LUIS BARRERA EIRL|E000000232
ACUNA LEON Y COMPANIA LIMITADA|E000000233
AGRICOLA E INVERSIONES LO AGUSTI|E000000233
ACUNA Y ASOCIADOS S A|E000000234
ACUNA Y VELASQUEZ LTDA|E000000235
AGRICOLA E INVERSIONES LOS NOTRO|E000000235
ACUYMAR INMOBILIARIA LIMITADA|E000000236
ACVERTICAL INGENIERIA Y ARQUITEC|E000000237
AD CAPITAL ASESORIAS E INVERSION|E000000238
AGRICOLA E INVERSIONES SANTA CATALIN|E000000238
AD CAPITAL ASESORIAS E INVERSIONES LIMIT|E000000239
AGRICOLA E INVERSIONES SANTA SAR|E000000239
AD F BOISIER SA P FIIP EL ABETO|E000000240
AD ODONTOLOGICA SPA|E000000241
AD PRESTACIONES ODONTOLOGICAS E INMOBIL|E000000242
ADA SPA|E000000243
ADARON SA|E000000244
ADAUY HENRIQUEZ Y COMPANIA LIMIT|E000000245
ADAUY HENRIQUEZ Y COMPANIA LTDA |E000000245
ADB F INMOB SA PARA LOS SAUCES FIP|E000000246
ADC S A|E000000247
AGRICOLA INMOB Y COMER EL CARMEN|E000000247
ADD MATT SPA|E000000248
ADDENS CONSULTORES LIMITADA|E000000249
ADDOCEO SPA|E000000250
ADEJE CONSTRUCCIONES LTDA|E000000251
ADELFA VALLEJOS E HIJAS LIMITADA|E000000252
ADELFOS SPA|E000000253
ADEMARO PELLACANI E HIJOS Y CIA LTD|E000000254
ADEPAC SA|E000000255
ADESSY IMP CHILE LTDA|E000000256
ADINSA S A|E000000257
ADITIVOS PLASTICOS LIMITADA|E000000258
ADLA COMPANY SPA|E000000259
ADLER STEEL CHILE SPA|E000000260
ADM CONST E INMOB CERRO COLORADO|E000000263
ADM DE CENTROS MEDICOS Y DENTALE|E000000264
ADM DE ESTC DE SERV SERCO LTDA|E000000265
ADM DE INV COYANCURA S A EN RE|E000000266
ADM DE INVERSIONES LOS COIPOS LT|E000000267
AGRICOLA TRIESTE SPA|E000000268
ADM DES SA PARA FONDO DE INV PRIV NVA ET|E000000269
AGRICOLA VALLE QUILIMARI LTDA|E000000269
ADM E INV COYANCURA LTDA|E000000270
AGRICOLA Y COMERCIAL CALLEJAS MIRANDA EX|E000000270
ADM E INV MARTINEZ GAMBOA LTDA|E000000271
AGRICOLA Y COMERCIAL CARO HERMANOS LIMIT|E000000271
ADM E INVERSIONES MARTINEZ GAMBO|E000000272
AGRICOLA Y COMERCIAL FROMISTA S A|E000000272
ADM FONDOS DE PENSIONES HABITAT S A|E000000273
ADM FONDOS INV ABSAL SA|E000000274
ADM GEST INTEGRALES LONCO LTDA|E000000275
ADM INV ABSAL SA|E000000276
AGRICOLA Y FORESTAL LA LIGUA LTDA|E000000277
ADM INV Y ASESORIAS INM 26 DE JU|E000000278
ADM METROPOLIS SA|E000000279
ADM NVA COSTANERA S A|E000000280
ADM NVA COSTANERA SA PARA FONDO|E000000281
ADM PAZMA S A P FIP LOS ACANTOS|E000000282
ADM PAZMA SA POR PERNAMBUCO F I P |E000000283
ADM VIALCORP SA|E000000284
ADM Y SERVICIOS LA FLORIDA S A|E000000285
ADMIN MERCADO C   I MUNICIP STGO|E000000286
ADMINIST  E INVERS  LORENA LTDA |E000000287
ADMINIST CONTABLE Y TRIBUTARIA L|E000000288
ADMINIST DE RESTAURANTES ARESTA|E000000289
ADMINISTRAC EDIF AV A VESPUCIO NTE|E000000291
ADMINISTRACION  SEGURIDAD Y PREV|E000000292
ADMINISTRACION DE EDIFICIO PLAZA|E000000293
AGROSUPER C DE ALIMENTOS LTDA|E000000293
ADMINISTRACION E INVERSIONES ALE|E000000294
ADMINISTRACION E INVERSIONES SCHILLINGAB|E000000295
ADMINISTRACION EDIF UNION ESPANOLA|E000000296
ADMINISTRACION EDIFICACION Y EXPLOTACIO|E000000297
ADMINISTRACION FERIA MUNICIPAL|E000000298
ADMINISTRACION Y ASESORIAS LTDA|E000000299
ADMINISTRACION Y DESARROLLO DE S|E000000300
ADMINISTRACION Y REDITOS LIMITAD|E000000301
ADMINISTRACIONES Y REDITOS LIMIT|E000000301
ADMINISTRACIONES Y REDITOS LIMITADA|E000000301
ADMINISTRACIONES ASESORIAS LTDA|E000000302
ADMINISTRACIONES E INMOBILIARIA|E000000303
ADMINISTRACIONES E INV R Y P LTD|E000000304
ADMINISTRACIONES E INVERSIONES C Y G LIM|E000000305
ADMINISTRACIONES E INVERSIONES M|E000000306
ADMINISTRACIONES E INVERSIONES ROOM APAR|E000000307
ADMINISTRACIONES FORESTALES MAYP|E000000308
ADMINISTRACIONES INMOB SA|E000000309
ADMINISTRACIONES INMOBILIARIAS L|E000000310
ADMINISTRACIONES INMOBILIARIAS LIMITADA|E000000311
ADMINISTRACIONES LAS BELLOTAS LTDA|E000000312
ADMINISTRACIONES MARIN PAUL|E000000313
ADMINISTRACIONES POLIPARK LIMITADA|E000000314
ADMINISTRACIONES SAN ANDRES SPA|E000000315
ADMINISTRACIONES TRES PUNTAS LIM|E000000316
ADMINISTRACIONES Y ASESORIAS LTDA|E000000317
ADMINISTRACIONES Y SERVICIOS SENAL PARKI|E000000318
AI PRODUCCIONES SPA|E000000318
ADMINISTRACIONES ZARHI|E000000319
ADMINISTRADORA ALEKINE S A|E000000320
ADMINISTRADORA ASAI S A |E000000321
ADMINISTRADORA CARRASCO LTDA|E000000322
ADMINISTRADORA CARRION LIMITADA|E000000323
ADMINISTRADORA CENTROS MEDICOS PHILLIPS|E000000324
ADMINISTRADORA DE ACTIVOS INMOBI|E000000325
ADMINISTRADORA DE CAPITAL INMOBILIARIO S|E000000326
ADMINISTRADORA DE CENTROS COMERCIALES S|E000000328
ADMINISTRADORA DE CENTROS DE DIS|E000000329
ADMINISTRADORA DE CENTROS DE DISTRIBUCIO|E000000330
ALATHEIA MEDICAL SPA|E000000330
ADMINISTRADORA DE CONSULTAS MEDICAS Y OF|E000000332
ADMINISTRADORA DE CONVENIOS LOS|E000000333
ADMINISTRADORA DE CREDITOS E INV|E000000334
ADMINISTRADORA DE DESARROLLO INMOB  S A |E000000335
ADMINISTRADORA DE EMPRESAS MARCARIA COM|E000000336
ADMINISTRADORA DE FONDOS DE INVERSION PR|E000000337
ADMINISTRADORA DE FONDOS DE PENS|E000000338
ADMINISTRADORA DE FONDOS DE PENSIONES CA|E000000339
ADMINISTRADORA DE FONDOS DE PENSIONES PL|E000000340
ADMINISTRADORA DE FONDOS DE PENSIONES S|E000000341
ADMINISTRADORA DE FONDOS PIETRA S A |E000000342
ADMINISTRADORA DE FRANQUICIAS AM|E000000343
ADMINISTRADORA DE HOTELES COMODORO SPA|E000000344
ADMINISTRADORA DE INVERSIONES AL|E000000345
ADMINISTRADORA DE INVERSIONES E|E000000346
ADMINISTRADORA DE INVERSIONES GA|E000000347
ADMINISTRADORA DE INVERSIONES GAIBADU LI|E000000348
ADMINISTRADORA DE INVERSIONES GSI CAPITA|E000000349
ADMINISTRADORA DE INVERSIONES LA|E000000350
ALEJANDRO ESTEBAN CANDIA SILVA INVERSION|E000000351
ADMINISTRADORA DE PROYECTOS INMO|E000000352
ALEJANDRO GAETE Y COMPANIA LTDA|E000000352
ADMINISTRADORA DE RESTAURANTES A|E000000353
ADMINISTRADORA DE SERVICIOS GRAL|E000000354
ADMINISTRADORA DE TRANSPORTES LAS NIEVES|E000000355
ALERTA AL CONOCIMIENTO S A|E000000355
ADMINISTRADORA E INMOB SAN NICOL|E000000356
ADMINISTRADORA E INMOBILIARIA EDIFICIOS|E000000357
ADMINISTRADORA E INVERS GAIBADU|E000000358
ADMINISTRADORA E INVERSIONES PAN|E000000359
ADMINISTRADORA E INVERSIONES SALAR SPA|E000000360
ADMINISTRADORA EMILE ALLAIS SPA|E000000361
ADMINISTRADORA ESTABLECIMIENTOS|E000000362
ADMINISTRADORA EUROPA S A|E000000363
ADMINISTRADORA EUROPA S A |E000000363
ADMINISTRADORA FORTALEZA SA|E000000364
ADMINISTRADORA HOGARES S A|E000000365
ADMINISTRADORA HOGARES SA LOS ANDES FIP|E000000366
ADMINISTRADORA LOS PARQUES LIMITADA|E000000367
ADMINISTRADORA LOS PARQUES S A|E000000368
ADMINISTRADORA METROPOLIS S A|E000000369
ADMISTRADORA METROPOLIS S A|E000000369
ADMINISTRADORA NISA LIMITADA|E000000370
ADMINISTRADORA NOBLEZA SA FIP A  MOOCK|E000000371
ALIMENTOS E INVERSIONES VALLES D|E000000371
ADMINISTRADORA NUEVA MARBELLAS A|E000000372
ADMINISTRADORA PLAZA VESPUCIO S A|E000000374
ADMINISTRADORA PLAZA VESPUCIO SA|E000000374
ADMINISTRADORA SAN CARLOS S A |E000000375
ADMINISTRADORA SAN CRISTOBAL S A|E000000376
ADMINISTRADORA SAN FRANCISCO S A|E000000377
ADMINISTRADORA SAN LUIS SPA|E000000378
ADMINISTRADORA SINTRA LTDA|E000000379
ADMINISTRADORA TIERRA FUTURA LIM|E000000380
ADMINISTRADORA TIERRA FUTURA LIMITADA|E000000380
ADMINISTRADORA VANTAGE LTDA |E000000381
ADMINISTRADORA Y COMERCIALIZADORA EM|E000000382
ADMINISTRADORA Y DE INVERSIONES|E000000383
ALMAGRO DCC SA|E000000383
ADMINISTRADORA Y EVALUADORA DE R|E000000384
ALMATER SERVICIOS DE PRECISION Y CONTR|E000000384
ADMIRA PUBLICIDAD SPA|E000000386
ADMITEC S A|E000000387
ADOLFO ALFARO Y COMPANIA LIMITAD|E000000388
ALQUIMIA INGENIEROS S A|E000000388
ADOLFO ROJAS Y CIA|E000000389
ADONIA SYSTEMES SPA|E000000390
ADOV CONTADORES LIMITADA|E000000391
ADRIA SPA|E000000392
ALUVIAL CONSULTORIA HIDROGEOLOGI|E000000392
ADRIAN AMPUERO INGENIERIA SPA|E000000393
ADRIANO S A|E000000395
ADSMUNDO TURISMO LTDA|E000000396
ADU ABOGADOS ASOCIADOS Y COMPANI|E000000397
ADV INMOBILIARIA E INVERSIONES SPA|E000000398
ADVANCE CHILE SPA|E000000399
ADVANCED MEDICAL PRODUCTS SPA|E000000400
ADVANSOLUTION TECNOLOGIA LIMITADA|E000000401
ADVANTAGE ODONTOLOGIA CLINICA LIMITADA|E000000402
ALVAREZ Y ASOCIADOS ESTUDIOS CLINICOS SP|E000000402
ADVEN SPA|E000000403
ADVICE ASESORES LIMITADA|E000000404
ADYREN ADMINIST Y RENTAS LTDA|E000000405
AYREN ADMINIST Y RENTAS LTDA|E000000405
AED INGENIERIA LIMITADA|E000000406
ALVI INVERSIONES E INMOBILIARIA SPA|E000000406
AEDO EBNER MUNOZ ARQUITECTOS LTDA|E000000408
AEDO Y PLAZA LIMITADA|E000000409
AEPULVEDA PROFESIONALES ASOCIADOS Y|E000000410
AERO SERVICE SA|E000000411
AMERICAN CONTAINER LINE S A|E000000411
AEROLINEAS ARGENTINAS S A|E000000412
AEROMAR CARGA LTDA|E000000413
AEROPACIFICO TRABAJOS AEREOS SPA|E000000414
AEROSERVICIO LTDA|E000000415
AMIGORENA INGENIERIA Y CONSTRUCC|E000000415
AEROSERVICIOS ANINAHUE LTDA|E000000416
AEROSERVICIOS CONIMEX LTDA|E000000417
AEROSTAR VENTILACION INDUSTRIAL LIMITADA|E000000418
AES SPA|E000000419
AESCHLIMANN SPA|E000000420
AESCHLIMANN Y FAURE LIMITADA|E000000421
AET CHILE SPA|E000000422
AETNA CHILE SEG VIDA S A|E000000423
AETNA SALUD S A|E000000424
AF CHILE SOCIEDAD LIMITADA|E000000425
AF CHILE SPA|E000000426
AF INVERSIONES SPA|E000000427
AFA SPA|E000000428
AFIC CHILE S A|E000000429
ANALISIS DESARROLLO Y FUTURO S A|E000000429
AFONDO INVERSIONES SPA|E000000430
AFP HABITAT|E000000431
AFP HABITAT S A|E000000432
AFP HABITAT SA|E000000432
ANDES SERVICIOS TECNOL GICOS SPA|E000000432
AFTER MI LUGAR FAVORITO LIMITADA|E000000433
AG AD JULIO VALLEJOS A Y CIA LTDA|E000000434
ANDINA INVERSIONES E INGENIERIA LIMITADA|E000000434
AG AD JULIO VALLEJOS Y CIA LTDA|E000000435
AG ADUANA B PERINETTI Y CIA LTDA|E000000436
AG ADUANA HUMBERTO ESCOBAR R CIA LT|E000000437
ANDREAS VAN TUIL INVERSIONES MUL|E000000437
ANDRES GONZALEZ GIBSON INVERSION|E000000438
ANDRES GONZALEZ GIBSON INVERSIONES EMPRE|E000000438
AG ASESORIAS Y SERVICIOS|E000000438
AG DE ADUANA S POLLMANN Y CIA LTDA|E000000439
AG INVERSORES SPA|E000000440
AG VIAJ MAYORISTA VIA CLUB LTDA|E000000441
AGACOR II SPA|E000000442
AGAR TURU SPA|E000000443
AGC MONTAJES S A|E000000444
AGEN DE ADUANA HERNAN PIZARRO LTDA|E000000445
AGEN DE VIAJES M VIA CLUB LTDA|E000000446
ANITA M FERNANDEZ Y CIA|E000000446
AGENC ADUANA LUIS PEDEVILA CIA LTDA|E000000447
AGENC ADUANAS F SOLORZA Y CIA LTDA|E000000448
AGENC PRODUCT QUIMICOS ANDIMEX LTDA|E000000449
AGENCIA DE ADUANA B PERINETTI Z CIA|E000000450
AGENCIA DE DISENO CUBO ROJO S P A|E000000452
AGENCIA DE EVENTOS TOTALES LIMIT|E000000453
AGENCIA DE EVENTOS TOTALES LTDA|E000000453
AGENCIA DE INVESTIGACION DE MERC|E000000454
AGENCIA DE PUBLICIDAD GANA Y ASOCIADOS L|E000000456
AOF SPA|E000000456
AGENCIA DE PUBLICIDAD MOZTRO LIMITADA|E000000457
AGENCIA DE VIAJES MAYORISTA VIA CLUB LIM|E000000459
APABLAZA Y CRESPILLO ASOCIADOS S|E000000460
AGENCIA EFE SA|E000000461
AGENCIA FLACA ESTUDIO SPA|E000000462
AGENCIA IMPORTADORA KUTZ LTDA|E000000463
AGENCIA INICIATIVAS LOC SOC LTDA|E000000464
AGENCIA INTERNACIONAL DE EDUCACI|E000000465
