propietario|rut|prop_tgr_id|match_score|confidence|margin|is_ambiguous|matched_name|second_best_rut|second_best_score
3L SERVICIOS FINANCIEROS SPA|76005814-9|E000000021|1.0|HIGH|0.2367|false|3L SERVICIOS FINANCIEROS SPA||0.7633
A D P INGENIERIA LIMITADA|76809970-7|E000000021|0.7838|NONE|0.0884|false|ADP SERVICIOS INGENIERIA INTEGRALES LTDA||0.6954
3M CHILE S A|0-0|E000000022|0.0|NONE|0.0|false|||0.0
4 LIFE SEGUROS DE VIDA S A |76418751-2|E000000023|1.0|HIGH|0.2591|false|4 LIFE SEGUROS DE VIDA S.A.||0.7409
4 LIFE SEGUROS DE VIDA S.A.|76418751-2|E000000023|1.0|HIGH|0.2591|false|4 LIFE SEGUROS DE VIDA S.A.||0.7409
4 ROBLES INMOBILIARIA E INVERSIONES SPA|76840015-6|E000000024|1.0|HIGH|0.2042|false|4 ROBLES INMOBILIARIA E INVERSIONES SPA||0.7958
4A SPA|0-0|E000000025|0.0|NONE|0.0|false|||0.0
4DISENO INGENIERIA Y CONSTRUCCIO|76493179-3|E000000026|0.8158|LOW|0.2707|false|4DISENO INGENIERIA Y CONSTRUCCION LIMITADA||0.5451
4DISENO INGENIERIA Y CONSTRUCCION LIMITA|76493179-3|E000000027|1.0|HIGH|0.1247|false|4DISENO INGENIERIA Y CONSTRUCCION LIMITADA||0.8753
4PLUS SPA|76557554-0|E000000028|1.0|HIGH|0.4732|false|4PLUS SPA||0.5268
4V DESARROLLO INMOBILIARIO SPA|0-0|E000000029|0.0|NONE|0.0|false|||0.0
5 BEAMS INVEST CHILE SPA|77053893-9|E000000030|1.0|HIGH|0.2249|false|5 BEAMS INVEST CHILE SPA||0.7751
5HCO INVERSIONES SPA|77023478-6|E000000031|1.0|HIGH|0.4988|false|5HCO INVERSIONES SPA||0.5012
6 LL SPA|0-0|E000000032|0.0|NONE|0.0|false|||0.0
7 CUARZOS SPA|0-0|E000000033|0.7313|NONE|0.1435|false|||0.5877
70W DESARROLLOS INMOBILIARIOS SPA|76326733-4|E000000034|1.0|HIGH|0.1474|false|70W DESARROLLOS INMOBILIARIOS SPA||0.8526
7K LODGE SPA|76942719-8|E000000035|1.0|HIGH|0.3614|false|7K LODGE SPA||0.6386
8 DE FEBRERO S.A.|76090117-2|E000000036|1.0|HIGH|0.4351|false|8 DE FEBRERO S.A.||0.5649
A  CUSSEN DOS Y DOS Y COMPANIA|78034060-6|E000000037|0.8269|LOW|0.1831|false|A CUSSEN Y COMPANIA LIMITADA||0.6438
A  VILLABLANCA PRODUCCIONES LIMI|76740000-4|E000000038|1.0|HIGH|0.3316|false|A. VILLABLANCA PRODUCCIONES LIMITADA||0.6684
A VILLABLANCA PRODUCCIONES LIMIT|76740000-4|E000000038|1.0|HIGH|0.3316|false|A. VILLABLANCA PRODUCCIONES LIMITADA||0.6684
A A K SPA|77183905-3|E000000039|1.0|HIGH|0.4634|false|A.A.K SPA||0.5366
A A P CASAPROPIA|0-0|E000000040|0.4602|NONE|0.1178|false|||0.3423
AARON SOCIEDAD COMERCIAL E INDUSTRIAL LI|77690430-9|E000000040|0.797|NONE|0.0021|true|AARON IMPORTADORA SOCIEDAD COMERCIAL E INDUSTRIAL LIMITADA|77530899-0|0.7949
A AND A CONSULTORES LIMITADA|76629622-K|E000000041|1.0|MEDIUM|0.0|true|A&A CONSULTORES LIMITADA|76011367-0|1.0
A AND S TECNOLOGIAS COMPUTACIONA|0-0|E000000042|0.7347|NONE|0.1852|false|||0.5495
A AND V SOFTWARE LIMITADA|0-0|E000000043|0.7737|NONE|0.0|false|||0.7737
A B O INGENIERIA ELECTRICA LIMIT|78821180-5|E000000044|1.0|HIGH|0.1533|false|A B O INGENIERIA ELECTRICA LIMITADA||0.8467
A B O INGENIERIA ELECTRICA LIMITADA|78821180-5|E000000044|1.0|HIGH|0.1533|false|A B O INGENIERIA ELECTRICA LIMITADA||0.8467
ABARCA RAMIREZ AND ASOCIADOS COM|76072477-7|E000000044|0.7932|NONE|0.0263|true|ABARCA RAMIREZ & ASOCIADOS COMPANIA LIMITADA|78031324-2|0.767
A C COMERCIAL EXPORTADORA LTDA|0-0|E000000045|0.6973|NONE|0.0038|false|||0.6935
A CONST E INM CERRO COLORADO|0-0|E000000046|0.6622|NONE|0.0041|false|||0.6581
A D ADMINISTRACION INMOBILIARIA SPA|0-0|E000000047|0.0|NONE|0.0|false|||0.0
A DENHAM Y CIA LTDA|0-0|E000000049|0.59|NONE|0.002|false|||0.588
ABITO GLOBAL   SERVICIOS PUBLICI|76157325-K|E000000049|0.7963|NONE|0.0593|false|ABITO GLOBAL - SERVICIOS PUBLICITARIOS SPA||0.737
A E INV NAVETTA MANAGEMENT CHILE|0-0|E000000050|0.73|NONE|0.1574|false|||0.5726
A E INV NAVETTA MANGEMENT CHILE|0-0|E000000050|0.73|NONE|0.1574|false|||0.5726
A F P SANTA MARIA|96728160-3|E000000051|0.8677|MEDIUM|0.0|true|SANTA MARIA S A|96924120-K|0.8677
A F P SANTA MARIA S A|96728160-3|E000000051|0.8677|MEDIUM|0.0|true|SANTA MARIA S A|96924120-K|0.8677
A FUENZALIDA Y CIA|79696230-5|E000000052|0.8264|LOW|0.0198|true|INVERSIONES FUENZALIDA Y CIA|77318000-8|0.8066
A G CONSTRUCCIONES S A|0-0|E000000053|0.0|NONE|0.0|false|||0.0
A G I LONCO LTDA|0-0|E000000054|0.7319|NONE|0.0033|false|||0.7286
AGI LONCO LTDA|0-0|E000000054|0.7319|NONE|0.0033|false|||0.7286
A G MICROEMP TALLERES LAB SOL Y SERV|0-0|E000000055|0.5651|NONE|0.0113|false|||0.5538
A GREMIAL COM LOC MERCADO VEGA C|0-0|E000000056|0.5567|NONE|0.0029|false|||0.5538
A H GROUP SPA|77465711-8|E000000057|0.8175|LOW|0.0|true|SP.GROUP SPA|76881366-3|0.8175
A HARTRODT CHILE S A|84007300-9|E000000058|1.0|HIGH|0.5365|false|A HARTRODT CHILE S A||0.4635
A I G CHILE SPA|76283521-5|E000000059|1.0|HIGH|0.2271|false|A I G CHILE  SPA||0.7729
A JARA Y CIA|76014222-0|E000000060|0.8096|LOW|0.0222|true|JARA Y CIA. SPA|70934100-6|0.7874
A LA VUELTA PRODUCCIONES SPA|76424562-8|E000000061|1.0|HIGH|0.2987|false|A LA VUELTA PRODUCCIONES SPA||0.7013
A LILLO Y COMPANIA LIMITADA|77266070-7|E000000062|1.0|HIGH|0.1012|false|A LILLO Y COMPANIA LIMITADA||0.8988
A LYON Y CIA S A|81142100-6|E000000063|1.0|HIGH|0.4045|false|A LYON Y CIA S A||0.5955
A M C CONSULTORES LTDA|0-0|E000000064|0.7447|NONE|0.027|false|||0.7178
A M S GALERIA DE ARTE S A|96760370-8|E000000065|1.0|HIGH|0.2597|false|A M S GALERIA DE ARTE S A||0.7403
A M Y ASOCIADOS ASESORES CONSULT|77646580-1|E000000066|0.8214|LOW|0.0871|false|A M Y ASOCIADOS ASESORES CONSULTORES LIMITADA||0.7342
A M Z INGENIERIA LIMITADA|77490670-3|E000000067|1.0|HIGH|0.3529|false|A M Z INGENIERIA LIMITADA||0.6471
A MOB E INMOB MONTERO VIDAL LTDA|0-0|E000000068|0.7209|NONE|0.0228|false|||0.6981
A MUSIC LTDA|83863900-3|E000000069|1.0|HIGH|0.3485|false|A MUSIC LTDA||0.6515
A P B F S A|78466840-1|E000000070|1.0|HIGH|0.5108|false|A.P.B.F S.A||0.4892
ACEROS INOX DINOXA LTDA|77480160-K|E000000070|0.7839|NONE|0.1247|false|ACEROS INOXIDABLES DINOXA LTDA||0.6591
A R H INGENIERIA Y CONSTRUCCION LIMITADA|78732440-1|E000000071|1.0|HIGH|0.1292|false|A R H INGENIERIA Y CONSTRUCCION LIMITADA||0.8708
A S ASESORIAS Y SERVICIOS LIMITADA|0-0|E000000072|0.0|NONE|0.0|false|||0.0
A S TECNOLOGIAS COMPUTACIONALES LIMITA|77495960-2|E000000073|0.8474|LOW|0.1398|false|A & S TECNOLOGIAS COMPUTACIONALES LIMITADA||0.7075
A SCHMITT Y ASOCIADOS LIMITADA|84519800-4|E000000074|1.0|HIGH|0.4084|false|A SCHMITT Y ASOCIADOS LTDA||0.5916
A SEREMPSA S A|0-0|E000000075|0.6366|NONE|0.177|false|||0.4596
A SIX SA|0-0|E000000076|0.482|NONE|0.0501|false|||0.4319
A SIX SOCIEDAD ANONIMA|0-0|E000000076|0.482|NONE|0.0501|false|||0.4319
ACOP CAMARA NACIONAL DE SERV INMOBILIARI|70630900-4|E000000076|0.7913|NONE|0.0888|false|ACOP CAMARA NACIONAL DE SERVICIOS INMOBILIARIOS A G||0.7025
A T M  ASCENSORES LIMITADA|76268861-1|E000000077|1.0|HIGH|0.2774|false|A.T.M. ASCENSORES LIMITADA||0.7226
A V INVERSIONES SANTA MARIA S A|96811670-3|E000000078|1.0|MEDIUM|0.0|true|INVERSIONES SANTA MARIA S A|76190730-1|1.0
INVERSIONES SANTA MARIA S A |96811670-3|E000000078|1.0|MEDIUM|0.0|true|INVERSIONES SANTA MARIA S A|76190730-1|1.0
A VILLACURA E HIJOS LTDA|0-0|E000000079|0.7599|NONE|0.0812|false|||0.6787
ACR P SPA|77875845-8|E000000079|0.7854|NONE|0.0|true|ACR SPA|76932429-1|0.7854
A Y A INMOBILIARIA S A|96698820-7|E000000080|1.0|HIGH|0.0965|false|A Y A INMOBILIARIA S A||0.9035
A Y B INVERSIONES LIMITADA|76137346-3|E000000081|1.0|HIGH|0.109|false|A Y B INVERSIONES LIMITADA||0.891
A Y B INVERSIONES LTDA|76137346-3|E000000081|1.0|HIGH|0.109|false|A Y B INVERSIONES LIMITADA||0.891
A Y C IMPRESORES LIMITADA|79731220-7|E000000082|1.0|HIGH|0.2881|false|A Y C IMPRESORES LIMITADA||0.7119
A Y C V DE INMUE LOT PARK LTDA |0-0|E000000083|0.5898|NONE|0.0437|false|||0.546
A Y D INVERSIONES SPA|77883914-8|E000000084|1.0|MEDIUM|0.0|true|A&D INVERSIONES SPA|76690139-5|1.0
A Y H INGENIERIA ELECTRICA LIMIT|77715230-0|E000000085|1.0|HIGH|0.1533|false|A Y H INGENIERIA  ELECTRICA LIMITADA||0.8467
A Y R LIMITADA|77565967-K|E000000086|1.0|MEDIUM|0.0|true|AYR LIMITADA|76317081-0|1.0
A Y R PRIETO LTDA|76092073-8|E000000087|0.8413|LOW|0.0|true|PRIETO LIMITADA|77440032-K|0.8413
A YA INMOBILIARIA SA|0-0|E000000088|0.0|NONE|0.0|false|||0.0
A3ARQ SPA|0-0|E000000089|0.431|NONE|0.0227|false|||0.4083
A5 EXPORT SPA|76860657-9|E000000090|1.0|HIGH|0.3182|false|A5 EXPORT SPA||0.6818
AAA SERVICIOS LEGALES LIMITADA|77811021-0|E000000091|1.0|HIGH|0.122|false|AAA SERVICIOS LEGALES LIMITADA||0.878
AACKRYUM CORP S A|0-0|E000000092|0.5961|NONE|0.0027|false|||0.5934
AAGS SERVICIOS Y PROCEDIMIENTOS MEDICOS|77157275-8|E000000093|0.9619|HIGH|0.2507|false|AAGS SERVICIOS Y PROCEDIMIENTOS MEDICOS SPA||0.7111
AANDT ABOGADOS LIMITADA|0-0|E000000094|0.4214|NONE|0.0274|false|||0.394
AARON IMPORTADORA S C I  LTDA|0-0|E000000095|0.6354|NONE|0.0261|false|||0.6094
ADM  DE DESARROLLOS INMOBILIARIOS S A |99566330-9|E000000096|0.7867|NONE|0.0|true|DESARROLLOS INMOBILIARIOS S A|76142643-5|0.7867
ADM  DE FONDOS DE INVERSIONES ABSAL S A |76454040-9|E000000097|0.7954|NONE|0.0397|true|ADMINISTRADORA DE FONDOS DE INVERSION ABSAL  S A|76836710-8|0.7558
ADM DE FONDOS DE INV ABSAL SA|76454040-9|E000000097|0.7954|NONE|0.0397|true|ADMINISTRADORA DE FONDOS DE INVERSION ABSAL  S A|76836710-8|0.7558
ADM FONDOS DE INV ABSAL SA|76454040-9|E000000097|0.7954|NONE|0.0397|true|ADMINISTRADORA DE FONDOS DE INVERSION ABSAL  S A|76836710-8|0.7558
AARONING INGENIERIA NEGOCIOS Y G|0-0|E000000097|0.7773|NONE|0.079|false|||0.6983
AASA SPA|77269791-0|E000000098|1.0|HIGH|0.4263|false|AASA SPA||0.5737
AB CREDIT LEASING Y FACTORING S |99542780-K|E000000099|1.0|HIGH|0.3455|false|AB CREDIT LEASING Y FACTORING S.A.||0.6545
AB CREDIT LEASING Y FACTORING S A |99542780-K|E000000099|1.0|HIGH|0.3455|false|AB CREDIT LEASING Y FACTORING S.A.||0.6545
AB INVERSIONES LIMITADA|0-0|E000000100|0.0|NONE|0.0|false|||0.0
AB INVERSIONES SPA|0-0|E000000101|0.0|NONE|0.0|false|||0.0
AB SAMI SERVICIOS INTEGRADOS LIMITADA|78289660-1|E000000102|1.0|HIGH|0.1957|false|AB SAMI SERVICIOS INTEGRADOS LIMITADA||0.8043
ADM DE SERVICIOS GENERALES CARME|77201009-5|E000000102|0.7991|NONE|0.0779|false|ADM SERVICIOS GENERALES SPA||0.7212
ABAKO   PARTNERS CONSULTORES LIM|76089173-8|E000000103|1.0|HIGH|0.2103|false|ABAKO - PARTNERS CONSULTORES LIMITADA||0.7897
ABAL CONFECCIONES LTDA|79709770-5|E000000104|1.0|HIGH|0.2543|false|ABAL CONFECCIONES LIMITADA||0.7457
ABARCA Y OBREQUE INMOBILIARIA S.P.A.|77761903-9|E000000106|1.0|HIGH|0.3595|false|ABARCA Y OBREQUE INMOBILIARIA S.P.A.||0.6405
ABARZA MERCADO FERNANDO ENRIQUE|0-0|E000000107|0.6827|NONE|0.0088|false|||0.6739
ABAST COMBUSTIBLES SA|0-0|E000000108|0.6708|NONE|0.0391|false|||0.6317
ABASTECEDORA COMBUSTIBLE SA|0-0|E000000109|0.5885|NONE|0.0007|false|||0.5878
ABASTECEDORA DE COMBUSTIBLE S A|0-0|E000000110|0.7113|NONE|0.0104|false|||0.7009
ABASTECEDORA DE COMBUSTIBLES S A|0-0|E000000110|0.7113|NONE|0.0104|false|||0.7009
ADM INV DE LA CRUZ LTDA|76097269-K|E000000110|0.7826|NONE|0.003|true|SOCIEDAD DE INVERSIONES LA CRUZ LIMITADA|76181061-8|0.7797
ABASTECIMIENTOS GENERALES S A|79847860-5|E000000111|1.0|HIGH|0.2206|false|ABASTECIMIENTOS GENERALES S A||0.7794
ABASTECIMIENTOS GENERALES SOCIED|77536178-6|E000000112|0.8258|LOW|0.0299|true|ABASTECIMIENTOS GENERALES SPA|79847860-5|0.7959
ABASTECIMIENTOS TECNICOS LIMITAD|77783750-8|E000000113|1.0|HIGH|0.2698|false|ABASTECIMIENTOS TECNICOS LIMITADA||0.7302
ABASTECIMIENTOS TECNICOS LIMITADA|77783750-8|E000000113|1.0|HIGH|0.2698|false|ABASTECIMIENTOS TECNICOS LIMITADA||0.7302
ABASTOPLAST LIMITADA|78737530-8|E000000114|1.0|HIGH|0.4478|false|ABASTOPLAST LIMITADA||0.5522
ABATTE PRODUCTOS PARA OFICINA S|96909950-0|E000000115|1.0|HIGH|0.4251|false|ABATTE PRODUCTOS PARA OFICINA S A||0.5749
ABATTE PRODUCTOS PARA OFICINA S A|96909950-0|E000000115|1.0|HIGH|0.4251|false|ABATTE PRODUCTOS PARA OFICINA S A||0.5749
ABB S A|92805000-9|E000000116|1.0|HIGH|0.425|false|ABB S A||0.575
ABBAV SPA|77102128-K|E000000117|1.0|HIGH|0.2675|false|ABBAV SPA||0.7325
ABBOTT LABORATORIES DE CHILE LTDA|81378300-2|E000000118|1.0|HIGH|0.3712|false|ABBOTT LABORATORIES DE CHILE LTDA||0.6288
ABC INVERSIONES DOS SPA|77635031-1|E000000119|0.8174|LOW|0.0072|true|ABC INVERSIONES SPA|76256076-3|0.8102
ABDALA Y COMPANIA LIMITADA|78125790-7|E000000120|1.0|HIGH|0.1111|false|ABDALA Y COMPANIA LIMITADA||0.8889
ABDO ESCAFF Y CIA LIMITADA|76483515-8|E000000121|1.0|HIGH|0.2578|false|ABDO ESCAFF Y CIA LIMITADA||0.7422
ADMINIST E INV C Y G LTDA|79712560-1|E000000122|0.7899|NONE|0.026|true|ADMINISTRACIONES E INVERSIONES C Y G LIMITADA|78341590-9|0.7639
ADMINIST E INVERS C Y G LTDA|79712560-1|E000000122|0.7899|NONE|0.026|true|ADMINISTRACIONES E INVERSIONES C Y G LIMITADA|78341590-9|0.7639
ABEDRAPO LAGOS SPA|76450164-0|E000000122|1.0|HIGH|0.2685|false|ABEDRAPO LAGOS SPA||0.7315
ABELLA CONSULTORES LIMITADA|76028069-0|E000000123|1.0|HIGH|0.3477|false|ABELLA CONSULTORES LIMITADA||0.6523
ABINGRAF S A|77325180-0|E000000124|1.0|HIGH|0.5182|false|ABINGRAF S A||0.4818
ABITO GLOBAL   SERVICIOS PUBLICITARIOS S|76157325-K|E000000126|0.9192|MEDIUM|0.2049|false|ABITO GLOBAL - SERVICIOS PUBLICITARIOS SPA||0.7143
ABM ABOGADOS SPA |76264174-7|E000000127|1.0|HIGH|0.284|false|ABM ABOGADOS SPA.||0.716
ABN AMRO BANK CHILE|0-0|E000000128|0.6138|NONE|0.0188|false|||0.595
ABN AMRO SECURITIZADORA S A|0-0|E000000129|0.6555|NONE|0.0047|false|||0.6509
ABN AMRO SECURITIZADORA SA|0-0|E000000129|0.6555|NONE|0.0047|false|||0.6509
ABOGADOS CONSULTORES Y CO|0-0|E000000130|0.0|NONE|0.0|false|||0.0
ABOGADOS CORREDORES SPA|0-0|E000000131|0.6403|NONE|0.0205|false|||0.6199
ABOGADOS E INVERSIONES DIAZ Y CO|0-0|E000000132|0.7937|NONE|0.2016|false|||0.5921
ABOGADOS E INVERSIONES DIAZ Y COMPANIA L|76409308-9|E000000133|0.9189|MEDIUM|0.2395|false|ABOGADOS E INVERSIONES DIAZ Y COMPANIA LIMITADA||0.6795
ABOGADOS PIZARRO BORGONO Y PIZAR|0-0|E000000134|0.7776|NONE|0.076|false|||0.7016
ABOGADOS PIZARRO BORGONO Y PIZARRO S|79968890-5|E000000135|0.81|LOW|0.1538|false|ABOGADOS PIZARRO BORGONO Y PIZARRO SAGUES LIMITADA||0.6563
ABOGADOS Y COMPANIA LIMITADA|0-0|E000000136|0.0|NONE|0.0|false|||0.0
ABR COMERCIAL SPA|76681714-9|E000000137|1.0|HIGH|0.171|false|ABR COMERCIAL SPA||0.829
ADMINISTRADORA DE CENTROS COMERC|99514490-5|E000000137|0.7858|NONE|0.0048|true|ADMINISTRADORA DE CENTROS COMERCIALES S A|76004669-8|0.781
ABRAHAM SARFATIS S A|0-0|E000000138|0.5949|NONE|0.0|false|||0.5949
ABRAHAM SARFATIS Y CIA LTDA|0-0|E000000139|0.7339|NONE|0.0245|false|||0.7094
ABRAMOVICZ Y COMPANIA LIMITADA|86346000-K|E000000140|1.0|HIGH|0.2227|false|ABRAMOVICZ Y CIA LTDA||0.7773
ADMINISTRADORA DE CENTROS DEPORT|77856940-K|E000000140|0.7915|NONE|0.0489|true|ADMINISTRADORA DE CENTROS DEPORTIVOS LIMITADA|76089807-4|0.7426
ABS KINESIOLOGOS S A|78499880-0|E000000141|1.0|HIGH|0.3425|false|ABS KINESIOLOGOS S.A||0.6575
ABSALON ESPINOSA INMOB|79808860-2|E000000142|0.9227|HIGH|0.2975|false|ABSALON ESPINOSA INMOBILIARIA LIMITADA||0.6252
ABSALON ESPINOSA INMOB |79808860-2|E000000142|0.9227|HIGH|0.2975|false|ABSALON ESPINOSA INMOBILIARIA LIMITADA||0.6252
ABSALON ESPINOSA INMOBILIARIA LI|79808860-2|E000000143|1.0|HIGH|0.3226|false|ABSALON ESPINOSA INMOBILIARIA LIMITADA||0.6774
ABSALON ESPINOSA INMOBILIARIA LIMITADA|79808860-2|E000000143|1.0|HIGH|0.3226|false|ABSALON ESPINOSA INMOBILIARIA LIMITADA||0.6774
ABSALON ESPINOSA INMOBILIARIA LT|79808860-2|E000000143|1.0|HIGH|0.3226|false|ABSALON ESPINOSA INMOBILIARIA LIMITADA||0.6774
ABSALON ESPINOSA INMOBILIARIA LTDA|79808860-2|E000000143|1.0|HIGH|0.3226|false|ABSALON ESPINOSA INMOBILIARIA LIMITADA||0.6774
ABU THUM ROJAS UGARTE Y CIA LTDA|0-0|E000000144|0.7749|NONE|0.0393|false|||0.7356
ABUDNIK SPA|76777752-3|E000000145|1.0|HIGH|0.4818|false|ABUDNIK SPA||0.5182
ABUFHELE MILAD SPA|76731977-0|E000000146|1.0|HIGH|0.3053|false|ABUFHELE MILAD SPA||0.6947
ABURTO Y HERRERA SPA|76327248-6|E000000147|1.0|HIGH|0.1725|false|ABURTO Y HERRERA SPA||0.8275
ABUS CHILE SPA|76189227-4|E000000148|1.0|HIGH|0.2957|false|ABUS CHILE SPA||0.7043
AC ASESORIAS EN MARKETING Y COMUNICACION|78785780-9|E000000149|0.8659|MEDIUM|0.0905|false|AC ASESORIAS EN MARKETING Y COMUNICACIONES LIMITADA||0.7754
AC CANTAUCO INMOBILIARIA SPA|76475735-1|E000000150|1.0|HIGH|0.4438|false|AC CANTAUCO INMOBILIARIA SPA||0.5562
AC INGENIERIA MECANICA LTDA|77661294-4|E000000151|0.8658|MEDIUM|0.0|true|INGENIERÍA MECÁNICA LIMITADA|77900222-5|0.8658
AC S COMPANY S A|0-0|E000000152|0.0|NONE|0.0|false|||0.0
AC SPA|0-0|E000000153|0.0|NONE|0.0|false|||0.0
ADMINISTRADORA DE MERCADO S A |76053932-5|E000000153|0.7864|NONE|0.157|false|ADMINISTRADORA DE MERCADO SPA||0.6294
ACACIA INVERSIONES LIMITADA|0-0|E000000154|0.7623|NONE|0.0429|false|||0.7193
INVERSIONES ACACIA LIMITADA|0-0|E000000154|0.7623|NONE|0.0429|false|||0.7193
ACACIA INVERSIONES SPA|76298470-9|E000000155|1.0|HIGH|0.1157|false|ACACIA INVERSIONES SPA||0.8843
ACADEMIA CONSULTORA Y ASESORA TU|0-0|E000000156|0.7074|NONE|0.0418|false|||0.6657
ACADEMIA DE ARTES LA CASONA DE L|76497980-K|E000000157|0.8331|LOW|0.1669|false|ACADEMIA DE ARTES LA CASONA DE LA FLORIDA LIMITADA||0.6662
ACADEMIA DE IMPLANTES SPA |76448799-0|E000000158|1.0|HIGH|0.3127|false|ACADEMIA DE IMPLANTES SPA.||0.6873
ACADEMIA DE MUSICA ORIENTE LIMIT|77951170-7|E000000159|1.0|HIGH|0.254|false|ACADEMIA DE MUSICA ORIENTE LIMITADA||0.746
ACADEMIA DEL DEPORTE Y LAS ARTES|0-0|E000000160|0.698|NONE|0.0866|false|||0.6114
ACADEMIA DIGITAL DE PSICOLOGIA Y APRENDI|77245985-8|E000000161|0.8292|LOW|0.117|false|ACADEMIA DIGITAL DE PSICOLOGÍA Y APRENDIZAJE SPA||0.7121
ACADEMIA NAC DE EST POLITICOS Y EST|0-0|E000000162|0.7778|NONE|0.172|false|||0.6058
ACADEMIA NAC ESTUDIOS POLITICOS EST|0-0|E000000163|0.7394|NONE|0.1599|false|||0.5795
ACADIA S A|96758970-5|E000000164|1.0|HIGH|0.4631|false|ACADIA S.A.||0.5369
ADMINISTRADORA PAYNE CAPITAL S A|76043745-K|E000000164|0.7948|NONE|0.2475|false|ADMINISTRADORA PAYNE CAPITAL SPA||0.5473
ACB CONSTRUCTOR LIMITADA|76585755-4|E000000165|1.0|HIGH|0.3269|false|ACB CONSTRUCTOR LIMITADA||0.6731
ACC CHILE SPA|76544168-4|E000000166|1.0|HIGH|0.2271|false|ACC CHILE SPA||0.7729
ACCESORIOS FRIGORIFICOS SANTIAGO LIMITAD|76129059-2|E000000167|1.0|HIGH|0.3404|false|ACCESORIOS FRIGORIFICOS SANTIAGO LIMITADA||0.6596
ACCESOS AUTOMATIZADOS LIMITADA|77929550-8|E000000168|1.0|HIGH|0.4063|false|ACCESOS AUTOMATIZADOS LIMITADA||0.5937
ADMINISTRADORA Y RENTAS LAS PERD|76493419-9|E000000168|0.7894|NONE|0.2036|false|ADMINISTRADORA Y RENTAS LAS PERDICES SPA||0.5859
ACCIONA CENTRO DE NEGOCIOS SPA|76778293-4|E000000169|1.0|HIGH|0.2298|false|ACCIONA CENTRO DE NEGOCIOS SPA||0.7702
ADRIANA VIAL OVALLE Y CIA|76136250-K|E000000169|0.7972|NONE|0.0318|true|OVALLE Y COMPANIA|79777210-0|0.7654
ACCIONES URBANAS LIMITADA|76053717-9|E000000170|1.0|HIGH|0.2078|false|ACCIONES URBANAS LIMITADA||0.7922
ACCO ELECTRICIDAD LIMITADA|78827620-6|E000000171|1.0|HIGH|0.2591|false|ACCO ELECTRICIDAD LIMITADA||0.7409
