propietario|rut|prop_tgr_id
5HCO INVERSIONES SPA|77023478-6|E000000031
6 LL SPA|77139332-2|E000000032
7 CUARZOS SPA|0-0|E000000033
70W DESARROLLOS INMOBILIARIOS SPA|76326733-4|E000000034
7K LODGE SPA|76942719-8|E000000035
8 DE FEBRERO S.A.|76090117-2|E000000036
A  CUSSEN DOS Y DOS Y COMPANIA|0-0|E000000037
A  VILLABLANCA PRODUCCIONES LIMI|76740000-4|E000000038
A VILLABLANCA PRODUCCIONES LIMIT|76740000-4|E000000038
A A K SPA|77183905-3|E000000039
A A P CASAPROPIA|0-0|E000000040
A AND A CONSULTORES LIMITADA|76629622-K|E000000041
A AND S TECNOLOGIAS COMPUTACIONA|0-0|E000000042
A AND V SOFTWARE LIMITADA|0-0|E000000043
A B O INGENIERIA ELECTRICA LIMIT|78821180-5|E000000044
A B O INGENIERIA ELECTRICA LIMITADA|78821180-5|E000000044
A C COMERCIAL EXPORTADORA LTDA|0-0|E000000045
A CONST E INM CERRO COLORADO|0-0|E000000046
A D ADMINISTRACION INMOBILIARIA SPA|0-0|E000000047
A D P INGENIERIA LIMITADA|0-0|E000000048
A DENHAM Y CIA LTDA|0-0|E000000049
A E INV NAVETTA MANAGEMENT CHILE|0-0|E000000050
A E INV NAVETTA MANGEMENT CHILE|0-0|E000000050
A F P SANTA MARIA|96924120-K|E000000051
A F P SANTA MARIA S A|96924120-K|E000000051
A FUENZALIDA Y CIA|0-0|E000000052
A G CONSTRUCCIONES S A|0-0|E000000053
A G I LONCO LTDA|0-0|E000000054
AGI LONCO LTDA|0-0|E000000054
A G MICROEMP TALLERES LAB SOL Y SERV|0-0|E000000055
A GREMIAL COM LOC MERCADO VEGA C|0-0|E000000056
A H GROUP SPA|0-0|E000000057
A HARTRODT CHILE S A|84007300-9|E000000058
A I G CHILE SPA|76283521-5|E000000059
A JARA Y CIA|0-0|E000000060
A LA VUELTA PRODUCCIONES SPA|76424562-8|E000000061
A LILLO Y COMPANIA LIMITADA|77266070-7|E000000062
A LYON Y CIA S A|81142100-6|E000000063
A M C CONSULTORES LTDA|0-0|E000000064
A M S GALERIA DE ARTE S A|96760370-8|E000000065
A M Y ASOCIADOS ASESORES CONSULT|0-0|E000000066
A M Z INGENIERIA LIMITADA|77490670-3|E000000067
A MOB E INMOB MONTERO VIDAL LTDA|0-0|E000000068
ASES  MOB  E INMOB  MONTERO VIDAL LTDA |0-0|E000000068
ASES MOB  E INMOB  MONTERO VIDAL LTDA |0-0|E000000068
A MUSIC LTDA|83863900-3|E000000069
A P B F S A|78466840-1|E000000070
A R H INGENIERIA Y CONSTRUCCION LIMITADA|78732440-1|E000000071
A S ASESORIAS Y SERVICIOS LIMITADA|0-0|E000000072
A S TECNOLOGIAS COMPUTACIONALES LIMITA|0-0|E000000073
A SCHMITT Y ASOCIADOS LIMITADA|84519800-4|E000000074
A SEREMPSA S A|0-0|E000000075
A SIX SA|0-0|E000000076
A SIX SOCIEDAD ANONIMA|0-0|E000000076
A T M  ASCENSORES LIMITADA|76268861-1|E000000077
A V INVERSIONES SANTA MARIA S A|76047528-9|E000000078
A VILLACURA E HIJOS LTDA|0-0|E000000079
A Y A INMOBILIARIA S A|96698820-7|E000000080
A Y B INVERSIONES LIMITADA|76137346-3|E000000081
A Y B INVERSIONES LTDA|76137346-3|E000000081
A Y C IMPRESORES LIMITADA|79731220-7|E000000082
A Y C V DE INMUE LOT PARK LTDA |0-0|E000000083
A Y D INVERSIONES SPA|76690139-5|E000000084
A Y H INGENIERIA ELECTRICA LIMIT|77715230-0|E000000085
A Y R LIMITADA|77565967-K|E000000086
A Y R PRIETO LTDA|0-0|E000000087
A YA INMOBILIARIA SA|0-0|E000000088
A3ARQ SPA|0-0|E000000089
A5 EXPORT SPA|76860657-9|E000000090
AAA SERVICIOS LEGALES LIMITADA|77811021-0|E000000091
AACKRYUM CORP S A|0-0|E000000092
AAGS SERVICIOS Y PROCEDIMIENTOS MEDICOS|77157275-8|E000000093
AANDT ABOGADOS LIMITADA|0-0|E000000094
AARON IMPORTADORA S C I  LTDA|0-0|E000000095
AARON SOCIEDAD COMERCIAL E INDUSTRIAL LI|0-0|E000000096
AARONING INGENIERIA NEGOCIOS Y G|0-0|E000000097
AASA SPA|77269791-0|E000000098
AB CREDIT LEASING Y FACTORING S |99542780-K|E000000099
AB CREDIT LEASING Y FACTORING S A |99542780-K|E000000099
AB INVERSIONES LIMITADA|78321200-5|E000000100
AB INVERSIONES SPA|76264701-K|E000000101
AB SAMI SERVICIOS INTEGRADOS LIMITADA|78289660-1|E000000102
ABAKO   PARTNERS CONSULTORES LIM|76089173-8|E000000103
ABAL CONFECCIONES LTDA|79709770-5|E000000104
ABARCA RAMIREZ AND ASOCIADOS COM|0-0|E000000105
ABARCA Y OBREQUE INMOBILIARIA S.P.A.|77761903-9|E000000106
ABARZA MERCADO FERNANDO ENRIQUE|0-0|E000000107
ABAST COMBUSTIBLES SA|0-0|E000000108
ABASTECEDORA COMBUSTIBLE SA|0-0|E000000109
ABASTECEDORA DE COMBUSTIBLE S A|0-0|E000000110
ABASTECEDORA DE COMBUSTIBLES S A|0-0|E000000110
ABASTECIMIENTOS GENERALES S A|79847860-5|E000000111
ABASTECIMIENTOS GENERALES SOCIED|0-0|E000000112
ABASTECIMIENTOS TECNICOS LIMITAD|77783750-8|E000000113
ABASTECIMIENTOS TECNICOS LIMITADA|77783750-8|E000000113
ABASTOPLAST LIMITADA|78737530-8|E000000114
ABATTE PRODUCTOS PARA OFICINA S|96909950-0|E000000115
ABATTE PRODUCTOS PARA OFICINA S A|96909950-0|E000000115
ABB S A|92805000-9|E000000116
ABBAV SPA|77102128-K|E000000117
ABBOTT LABORATORIES DE CHILE LTDA|81378300-2|E000000118
ABC INVERSIONES DOS SPA|0-0|E000000119
ABDALA Y COMPANIA LIMITADA|78125790-7|E000000120
ABDO ESCAFF Y CIA LIMITADA|76483515-8|E000000121
ABEDRAPO LAGOS SPA|76450164-0|E000000122
ABELLA CONSULTORES LIMITADA|76028069-0|E000000123
ABINGRAF S A|77325180-0|E000000124
ABITO GLOBAL   SERVICIOS PUBLICI|76157325-K|E000000125
ABITO GLOBAL   SERVICIOS PUBLICITARIOS S|76157325-K|E000000125
ABM ABOGADOS SPA |76264174-7|E000000126
ABN AMRO BANK CHILE|0-0|E000000127
ABN AMRO SECURITIZADORA S A|0-0|E000000128
ABN AMRO SECURITIZADORA SA|0-0|E000000128
ABOGADOS CONSULTORES Y CO|0-0|E000000129
ABOGADOS CORREDORES SPA|0-0|E000000130
ABOGADOS E INVERSIONES DIAZ Y CO|0-0|E000000131
ABOGADOS E INVERSIONES DIAZ Y COMPANIA L|76409308-9|E000000132
ABOGADOS PIZARRO BORGONO Y PIZAR|0-0|E000000133
ABOGADOS PIZARRO BORGONO Y PIZARRO S|0-0|E000000134
ABOGADOS Y COMPANIA LIMITADA|78541980-4|E000000135
ABR COMERCIAL SPA|76681714-9|E000000136
ABRAHAM SARFATIS S A|0-0|E000000137
ABRAHAM SARFATIS Y CIA LTDA|0-0|E000000138
ABRAMOVICZ Y COMPANIA LIMITADA|86346000-K|E000000139
ABS KINESIOLOGOS S A|78499880-0|E000000140
ABSALON ESPINOSA INMOB|79808860-2|E000000141
ABSALON ESPINOSA INMOB |79808860-2|E000000141
ABSALON ESPINOSA INMOBILIARIA LI|79808860-2|E000000141
ABSALON ESPINOSA INMOBILIARIA LIMITADA|79808860-2|E000000141
ABSALON ESPINOSA INMOBILIARIA LT|79808860-2|E000000141
ABSALON ESPINOSA INMOBILIARIA LTDA|79808860-2|E000000141
ABU THUM ROJAS UGARTE Y CIA LTDA|0-0|E000000142
ABUDNIK SPA|76777752-3|E000000143
ABUFHELE MILAD SPA|76731977-0|E000000144
ABURTO Y HERRERA SPA|76327248-6|E000000145
ABUS CHILE SPA|76189227-4|E000000146
AC ASESORIAS EN MARKETING Y COMUNICACION|0-0|E000000147
AC CANTAUCO INMOBILIARIA SPA|76475735-1|E000000148
AC INGENIERIA MECANICA LTDA|77900222-5|E000000149
AC S COMPANY S A|77701920-1|E000000150
AC SPA|77901088-0|E000000151
ACACIA INVERSIONES LIMITADA|0-0|E000000152
INVERSIONES ACACIA LIMITADA|0-0|E000000152
ACACIA INVERSIONES SPA|76298470-9|E000000153
ACADEMIA CONSULTORA Y ASESORA TU|0-0|E000000154
ACADEMIA DE ARTES LA CASONA DE L|76497980-K|E000000155
ACADEMIA DE IMPLANTES SPA |76448799-0|E000000156
ACADEMIA DE MUSICA ORIENTE LIMIT|77951170-7|E000000157
ACADEMIA DEL DEPORTE Y LAS ARTES|0-0|E000000158
ACADEMIA DIGITAL DE PSICOLOGIA Y APRENDI|0-0|E000000159
ACADEMIA NAC DE EST POLITICOS Y EST|0-0|E000000160
ACADEMIA NAC ESTUDIOS POLITICOS EST|0-0|E000000161
ACADIA S A|96758970-5|E000000162
ACB CONSTRUCTOR LIMITADA|76585755-4|E000000163
ACC CHILE SPA|76544168-4|E000000164
ACCESORIOS FRIGORIFICOS SANTIAGO LIMITAD|76129059-2|E000000165
ACCESOS AUTOMATIZADOS LIMITADA|77929550-8|E000000166
ACCIONA CENTRO DE NEGOCIOS SPA|76778293-4|E000000167
ACCIONES URBANAS LIMITADA|76053717-9|E000000168
ACCO ELECTRICIDAD LIMITADA|78827620-6|E000000169
ACCOR CHILE S A|0-0|E000000170
ACCORD LIMITADA|78705300-9|E000000171
ACEITES NATURALES DE CHILE LTDA|0-0|E000000172
ACEITOM ALARCON S A|0-0|E000000173
ACENOR ACEROS DEL NORTE SA|77660960-9|E000000174
ACERMAQ DIVISION INMOBILIARIA SPA|77106404-3|E000000175
ACEROS INOX DINOXA LTDA|0-0|E000000176
ACEROS MORONI LIMITADA|0-0|E000000177
ACEROS SCHERSON S A|79645900-K|E000000178
ACEROS SCHERSON SA|79645900-K|E000000178
ACEROS SCHERSON SPA|79645900-K|E000000179
ACEROS Y METALES SPA|87717600-2|E000000180
ACEVEDO HECTOR Y OT CIA LTDA|0-0|E000000181
ACEVEDO Y ALVARADO COMPANIA LIMITADA|77724460-4|E000000182
ACEVEDO Y COMPANIA LIMITADA|87657500-0|E000000183
ACEVEDO Y OLIVARES LTDA|0-0|E000000184
ACF INMOBILIARIA LIMITADA|76442176-0|E000000185
INMOBILIARIA A C F LTDA|76442176-0|E000000185
ACF PROCESOS LTDA|78375510-6|E000000186
ACGP INMOBILIARIA LIMITADA|77443044-K|E000000187
ACH EQUIPOS LIMITADA|0-0|E000000188
ACHERNAR INGENIERIA PROYECTOS Y|0-0|E000000189
ACKERMANN Y ASOCIADOS CORREDORES|0-0|E000000190
ACKERMANN Y ASOCIADOS CORREDORES DE SEGU|0-0|E000000191
ACL INGENIERIA Y CONSTRUCCION LIMITADA|76204260-6|E000000192
ACM CONSTRUCCIONES SPA|76653826-6|E000000193
ACOFI SPA|76761049-1|E000000194
ACOFIN GLOBAL MARKET INC|0-0|E000000195
ACOGER SANTIAGO S A|76331100-7|E000000196
ACOGER SANTIAGO SERVICIOS FUNERARIOS S A|76631730-8|E000000197
ACONCAGUA DESARROLLO INMOB LTDA|76619830-9|E000000198
ACONCAGUA DESARROLLO INMOBILIARIO LIMITA|76619830-9|E000000198
ACONCAGUA INVESTMENT COMPANY SPA|76339667-3|E000000199
ACOP CAMARA NACIONAL DE SERV INMOBILIARI|0-0|E000000200
ACOPLADOS YAK LTDA|83559900-0|E000000201
ACOSTA AND AGUAYO S.A.|78171100-4|E000000202
ACOSTA REINOSO CARLOS JESUS ENCARNACION|0-0|E000000203
ACP ASESORIA JURIDICA Y GESTION INMOBILI|0-0|E000000204
ACQUA TIEMPO S A|76605140-5|E000000205
ACR P SPA|0-0|E000000206
ACREM SPA|76407681-8|E000000207
ACRIS GESTION INMOBILIARIA SPA|76792635-9|E000000208
ACRUX ODONTOLOGIA LIMITADA|77292361-9|E000000209
ACRUX S A|96598310-4|E000000210
ACS PROYECTOS OBRAS Y CONSTRUCCI|0-0|E000000211
ACTEGA TERRA CHILE LIMITADA|77340880-7|E000000212
ACTIC CONSULTORE LTDA|78326230-4|E000000213
ACTIC CONSULTORES LTDA|78326230-4|E000000213
ACTIUM S A|76049246-9|E000000214
ACTIVATE PRODUCCIONES LIMITADA|76570310-7|E000000215
ACTIVIDADES DEPORTIVAS KEVIN INACIO E.I.|0-0|E000000216
ACTIVIDADES Y EVENTOS DEPORTIVOS|76282909-6|E000000217
ACTIVO EMPRESARIAL SPA|76316065-3|E000000218
ACTIVO INVERSIONES SPA|76914456-0|E000000219
ACTIVOS CHILE CAPACITACION SPA|77375204-4|E000000220
ACTUAL ASESORIAS SPA|76016802-5|E000000221
ACTUAL CHILE SPA|76513753-5|E000000222
ACTUAL DUBLE ALMEYDA II SPA|0-0|E000000223
ACTUAL SERV SA PARA BROWN NORTE FIP|0-0|E000000224
ACTUAL SERVIC SA PARA ANTONIO VARAS FIP|0-0|E000000225
ACTUAL SERVICIOS S A |99580360-7|E000000226
ACTYON INGENIERIA LIMITADA|76021315-2|E000000227
ACU A LEON Y COMPA IA LIMITADA|0-0|E000000228
ACUICOLA CHUNGUNGO LIMITADA|0-0|E000000229
ACUICOLA LUIS BARRERA EIRL|76183783-4|E000000230
ACUNA LEON Y COMPANIA LIMITADA|76602527-7|E000000231
ACUNA Y ASOCIADOS S A|96660080-2|E000000232
ACUNA Y VELASQUEZ LTDA|78609530-1|E000000233
ACUYMAR INMOBILIARIA LIMITADA|76262161-4|E000000234
ACVERTICAL INGENIERIA Y ARQUITEC|0-0|E000000235
AD CAPITAL ASESORIAS E INVERSION|76715480-1|E000000236
AD CAPITAL ASESORIAS E INVERSIONES LIMIT|76715480-1|E000000236
AD F BOISIER SA P FIIP EL ABETO|0-0|E000000237
AD ODONTOLOGICA SPA|76278567-6|E000000238
AD PRESTACIONES ODONTOLOGICAS E INMOBIL|76733577-6|E000000239
ADA SPA|77517398-K|E000000240
ADARON SA|0-0|E000000241
ADAUY HENRIQUEZ Y COMPANIA LIMIT|78215830-9|E000000242
ADAUY HENRIQUEZ Y COMPANIA LTDA |78215830-9|E000000242
HENRIQUEZ Y CIA LTDA|78215830-9|E000000242
ADB F INMOB SA PARA LOS SAUCES FIP|0-0|E000000243
ADC S A|0-0|E000000244
ADD MATT SPA|76489578-9|E000000245
ADDENS CONSULTORES LIMITADA|0-0|E000000246
ADDOCEO SPA|77608033-0|E000000247
ADEJE CONSTRUCCIONES LTDA|0-0|E000000248
ADELFA VALLEJOS E HIJAS LIMITADA|78076460-0|E000000249
ADELFOS SPA|76857774-9|E000000250
ADEMARO PELLACANI E HIJOS Y CIA LTD|79809500-5|E000000251
ADEPAC SA|96575450-4|E000000252
ADESSY IMP CHILE LTDA|76771070-4|E000000253
ADINSA S A|0-0|E000000254
ADITIVOS PLASTICOS LIMITADA|76091380-4|E000000255
ADLA COMPANY SPA|77677099-K|E000000256
ADLER STEEL CHILE SPA|92844000-1|E000000257
ADM  DE DESARROLLOS INMOBILIARIOS S A |0-0|E000000258
ADM  DE FONDOS DE INVERSIONES ABSAL S A |0-0|E000000259
ADM DE FONDOS DE INV ABSAL SA|0-0|E000000259
ADM FONDOS DE INV ABSAL SA|0-0|E000000259
ADM CONST E INMOB CERRO COLORADO|0-0|E000000260
ADM DE CENTROS MEDICOS Y DENTALE|0-0|E000000261
ADM DE ESTC DE SERV SERCO LTDA|0-0|E000000262
ADM DE INV COYANCURA S A EN RE|0-0|E000000263
ADM DE INVERSIONES LOS COIPOS LT|0-0|E000000264
ADM DE SERVICIOS GENERALES CARME|0-0|E000000265
ADM DES SA PARA FONDO DE INV PRIV NVA ET|0-0|E000000266
ADM E INV COYANCURA LTDA|0-0|E000000267
ADM E INV MARTINEZ GAMBOA LTDA|0-0|E000000268
ADM E INVERSIONES MARTINEZ GAMBO|0-0|E000000269
ADM FONDOS DE PENSIONES HABITAT S A|0-0|E000000270
ADM FONDOS INV ABSAL SA|0-0|E000000271
ADM GEST INTEGRALES LONCO LTDA|0-0|E000000272
ADM INV ABSAL SA|0-0|E000000273
ADM INV DE LA CRUZ LTDA|0-0|E000000274
ADM INV Y ASESORIAS INM 26 DE JU|0-0|E000000275
ADM METROPOLIS SA|0-0|E000000276
ADM NVA COSTANERA S A|0-0|E000000277
ADM NVA COSTANERA SA PARA FONDO|0-0|E000000278
ADM PAZMA S A P FIP LOS ACANTOS|0-0|E000000279
ADM PAZMA SA POR PERNAMBUCO F I P |0-0|E000000280
ADM VIALCORP SA|76837020-6|E000000281
ADM Y SERVICIOS LA FLORIDA S A|0-0|E000000282
ADMIN MERCADO C   I MUNICIP STGO|0-0|E000000283
ADMINIST  E INVERS  LORENA LTDA |0-0|E000000284
ADMINIST CONTABLE Y TRIBUTARIA L|0-0|E000000285
ADMINIST DE RESTAURANTES ARESTA|0-0|E000000286
ADMINIST E INV C Y G LTDA|0-0|E000000287
ADMINIST E INVERS C Y G LTDA|0-0|E000000287
ADMINISTRAC EDIF AV A VESPUCIO NTE|0-0|E000000288
ADMINISTRACION  SEGURIDAD Y PREV|0-0|E000000289
ADMINISTRACION DE EDIFICIO PLAZA|56016240-5|E000000290
ADMINISTRACION E INVERSIONES ALE|0-0|E000000291
ADMINISTRACION E INVERSIONES SCHILLINGAB|0-0|E000000292
ADMINISTRACION EDIF UNION ESPANOLA|0-0|E000000293
ADMINISTRACION EDIFICACION Y EXPLOTACIO|0-0|E000000294
ADMINISTRACION FERIA MUNICIPAL|0-0|E000000295
ADMINISTRACION Y ASESORIAS LTDA|78206470-3|E000000296
ADMINISTRACION Y DESARROLLO DE S|0-0|E000000297
ADMINISTRACION Y REDITOS LIMITAD|77348440-6|E000000298
ADMINISTRACIONES Y REDITOS LIMIT|77348440-6|E000000298
ADMINISTRACIONES Y REDITOS LIMITADA|77348440-6|E000000298
ADMINISTRACIONES ASESORIAS LTDA|0-0|E000000299
ADMINISTRACIONES E INMOBILIARIA|0-0|E000000300
ADMINISTRACIONES E INV R Y P LTD|0-0|E000000301
ADMINISTRACIONES E INVERSIONES C Y G LIM|79712560-1|E000000302
ADMINISTRACIONES E INVERSIONES M|0-0|E000000303
ADMINISTRACIONES E INVERSIONES ROOM APAR|0-0|E000000304
ADMINISTRACIONES FORESTALES MAYP|0-0|E000000305
ADMINISTRACIONES INMOB SA|0-0|E000000306
ADMINISTRACIONES INMOBILIARIAS L|76052421-2|E000000307
ADMINISTRACIONES INMOBILIARIAS LIMITADA|76052421-2|E000000308
ADMINISTRACIONES LAS BELLOTAS LTDA|78106560-9|E000000309
ADMINISTRACIONES MARIN PAUL|76056597-0|E000000310
ADMINISTRACIONES POLIPARK LIMITADA|76128202-6|E000000311
ADMINISTRACIONES SAN ANDRES SPA|76613876-4|E000000312
ADMINISTRACIONES TRES PUNTAS LIM|77364770-4|E000000313
ADMINISTRACIONES Y ASESORIAS LTDA|79692040-8|E000000314
ADMINISTRACIONES Y SERVICIOS SENAL PARKI|0-0|E000000315
ADMINISTRACIONES ZARHI|0-0|E000000316
ADMINISTRADORA ALEKINE S A|99523870-5|E000000317
ADMINISTRADORA ASAI S A |76417620-0|E000000318
ADMINISTRADORA CARRASCO LTDA|0-0|E000000319
ADMINISTRADORA CARRION LIMITADA|76411154-0|E000000320
ADMINISTRADORA CENTROS MEDICOS PHILLIPS|76043427-2|E000000321
ADMINISTRADORA DE ACTIVOS INMOBI|0-0|E000000322
ADMINISTRADORA DE CAPITAL INMOBILIARIO S|77470434-5|E000000323
ADMINISTRADORA DE CENTROS COMERC|99514490-5|E000000324
ADMINISTRADORA DE CENTROS COMERCIALES S|99514490-5|E000000324
ADMINISTRADORA DE CENTROS DE DIS|0-0|E000000325
ADMINISTRADORA DE CENTROS DE DISTRIBUCIO|0-0|E000000325
ADMINISTRADORA DE CENTROS DEPORT|0-0|E000000325
ADMINISTRADORA DE CONSULTAS MEDICAS Y OF|0-0|E000000326
ADMINISTRADORA DE CONVENIOS LOS|0-0|E000000327
ADMINISTRADORA DE CREDITOS E INV|78301410-6|E000000328
ADMINISTRADORA DE DESARROLLO INMOB  S A |0-0|E000000329
ADMINISTRADORA DE EMPRESAS MARCARIA COM|76580782-4|E000000330
ADMINISTRADORA DE FONDOS DE INVERSION PR|0-0|E000000331
ADMINISTRADORA DE FONDOS DE PENS|0-0|E000000332
ADMINISTRADORA DE FONDOS DE PENSIONES CA|0-0|E000000333
ADMINISTRADORA DE FONDOS DE PENSIONES PL|0-0|E000000334
ADMINISTRADORA DE FONDOS DE PENSIONES S|0-0|E000000335
ADMINISTRADORA DE FONDOS PIETRA S A |76961750-7|E000000336
ADMINISTRADORA DE FRANQUICIAS AM|0-0|E000000337
ADMINISTRADORA DE HOTELES COMODORO SPA|77004348-4|E000000338
ADMINISTRADORA DE INVERSIONES AL|0-0|E000000339
ADMINISTRADORA DE INVERSIONES E|0-0|E000000340
ADMINISTRADORA DE INVERSIONES GA|0-0|E000000341
ADMINISTRADORA DE INVERSIONES GAIBADU LI|0-0|E000000342
ADMINISTRADORA DE INVERSIONES GSI CAPITA|0-0|E000000343
ADMINISTRADORA DE INVERSIONES LA|0-0|E000000344
ADMINISTRADORA DE MERCADO S A |76053932-5|E000000345
ADMINISTRADORA DE PROYECTOS INMO|0-0|E000000346
ADMINISTRADORA DE RESTAURANTES A|0-0|E000000347
ADMINISTRADORA DE SERVICIOS GRAL|0-0|E000000348
ADMINISTRADORA DE TRANSPORTES LAS NIEVES|96615790-9|E000000349
ADMINISTRADORA E INMOB SAN NICOL|0-0|E000000350
ADMINISTRADORA E INMOBILIARIA EDIFICIOS|0-0|E000000351
ADMINISTRADORA E INVERS GAIBADU|0-0|E000000352
ADMINISTRADORA E INVERSIONES PAN|0-0|E000000353
ADMINISTRADORA E INVERSIONES SALAR SPA|77377827-2|E000000354
ADMINISTRADORA EMILE ALLAIS SPA|76795443-3|E000000355
ADMINISTRADORA ESTABLECIMIENTOS|0-0|E000000356
ADMINISTRADORA EUROPA S A|76005849-1|E000000357
ADMINISTRADORA EUROPA S A |76005849-1|E000000357
ADMINISTRADORA FORTALEZA SA|76376090-1|E000000358
ADMINISTRADORA HOGARES S A|0-0|E000000359
ADMINISTRADORA HOGARES SA LOS ANDES FIP|0-0|E000000360
ADMINISTRADORA LOS PARQUES LIMITADA|96882630-1|E000000361
ADMINISTRADORA LOS PARQUES S A|0-0|E000000362
ADMINISTRADORA METROPOLIS S A|99561380-8|E000000363
ADMISTRADORA METROPOLIS S A|99561380-8|E000000363
ADMINISTRADORA NISA LIMITADA|76186956-6|E000000364
ADMINISTRADORA NOBLEZA SA FIP A  MOOCK|0-0|E000000365
ADMINISTRADORA NUEVA MARBELLAS A|99589650-8|E000000366
ADMINISTRADORA PAYNE CAPITAL S A|76043745-K|E000000367
ADMINISTRADORA PLAZA VESPUCIO S A|79990670-8|E000000368
ADMINISTRADORA PLAZA VESPUCIO SA|79990670-8|E000000368
ADMINISTRADORA SAN CARLOS S A |96825950-4|E000000369
ADMINISTRADORA SAN CRISTOBAL S A|76194335-9|E000000370
ADMINISTRADORA SAN FRANCISCO S A|99549230-K|E000000371
ADMINISTRADORA SAN LUIS SPA|77278776-6|E000000372
ADMINISTRADORA SINTRA LTDA|82290600-1|E000000373
ADMINISTRADORA TIERRA FUTURA LIM|76101609-1|E000000374
ADMINISTRADORA TIERRA FUTURA LIMITADA|76101609-1|E000000374
ADMINISTRADORA VANTAGE LTDA |76146131-1|E000000375
ADMINISTRADORA Y COMERCIALIZADORA EM|0-0|E000000376
ADMINISTRADORA Y DE INVERSIONES|0-0|E000000377
ADMINISTRADORA Y EVALUADORA DE R|0-0|E000000378
ADMINISTRADORA Y RENTAS LAS PERD|0-0|E000000379
ADMIRA PUBLICIDAD SPA|76536156-7|E000000380
ADMITEC S A|89822600-K|E000000381
ADOLFO ALFARO Y COMPANIA LIMITAD|77785220-5|E000000382
ADOLFO ROJAS Y CIA|76468220-3|E000000383
ADONIA SYSTEMES SPA|77367285-7|E000000384
ADOV CONTADORES LIMITADA|76770323-6|E000000385
ADRIA SPA|76509838-6|E000000386
ADRIAN AMPUERO INGENIERIA SPA|76211887-4|E000000387
ADRIANA VIAL OVALLE Y CIA|0-0|E000000388
ADRIANO S A|96762170-6|E000000389
ADSMUNDO TURISMO LTDA|0-0|E000000390
ADU ABOGADOS ASOCIADOS Y COMPANI|0-0|E000000391
ADV INMOBILIARIA E INVERSIONES SPA|76993082-5|E000000392
ADVANCE CHILE SPA|77107573-8|E000000393
ADVANCED MEDICAL PRODUCTS SPA|76018213-3|E000000394
ADVANSOLUTION TECNOLOGIA LIMITADA|76005406-2|E000000395
ADVANTAGE ODONTOLOGIA CLINICA LIMITADA|76030090-K|E000000396
ADVEN SPA|76622858-5|E000000397
ADVICE ASESORES LIMITADA|76149704-9|E000000398
ADYREN ADMINIST Y RENTAS LTDA|0-0|E000000399
AYREN ADMINIST Y RENTAS LTDA|0-0|E000000399
AED INGENIERIA LIMITADA|0-0|E000000400
AEDO DIAZ SOCIEDAD LIMITADA|0-0|E000000401
AEDO EBNER MUNOZ ARQUITECTOS LTDA|78438520-5|E000000402
AEDO Y PLAZA LIMITADA|76580264-4|E000000403
AEPULVEDA PROFESIONALES ASOCIADOS Y|0-0|E000000404
AERO SERVICE SA|76188714-9|E000000405
AEROLINEAS ARGENTINAS S A|81757500-5|E000000406
AEROMAR CARGA LTDA|0-0|E000000407
AEROPACIFICO TRABAJOS AEREOS SPA|76370024-0|E000000408
AEROSERVICIO LTDA|0-0|E000000409
AEROSERVICIOS ANINAHUE LTDA|0-0|E000000410
AEROSERVICIOS CONIMEX LTDA|0-0|E000000411
